company,id,number_of_board_memebers,average_age_board,total_active_assignments,total_active_assignments_star,total_prev_assignments,proportion_historic_defaults
Ställningsarmén AB,5591373195,2.0,38.0,3.0,2,3.0,0.0
Lövets AB,5569553976,5.0,45.0,5.0,4,7.0,0.0
Siljeströms Projektledning AB,5565990255,4.0,56.0,4.0,1,18.0,0.0
Batir AB,5569388811,2.0,62.0,10.0,9,20.0,0.0
Poolbyggarna i Järfälla Aktiebolag,5563972818,4.0,51.0,2.0,1,5.0,0.0
Act Management AB,5590919022,3.0,50.0,2.0,1,3.0,0.0
Andersson & Ärneman i Stockholm AB,5591892830,3.0,45.0,2.0,1,2.0,0.0
Åke Back Målare Aktiebolag,5565418166,3.0,58.0,3.0,2,1.0,0.0
Royal Bygg & Design AB,5569366528,2.0,40.0,3.0,2,15.0,0.0
Paul Åkerlund Byggprojekt AB,5566143599,2.0,45.0,3.0,2,7.0,0.0
CC Elinstallationer AB,5591330146,4.0,47.0,7.0,4,10.0,0.0
Cejbe AB,5566292487,3.0,39.0,2.0,1,1.0,0.0
NTA Produktion AB,5590955828,2.0,45.0,2.0,1,2.0,0.0
OD Elcontrol AB,5565325908,3.0,43.0,10.0,5,12.0,0.0
Niam Project Development AB,5567839922,3.0,48.0,26.0,25,36.0,0.0
Megaron Arkitekter Aktiebolag,5562170240,5.0,53.0,5.0,2,8.0,0.0
2:a Hjälpen AB,5569584898,3.0,33.0,2.0,1,5.0,0.0
Värmepatrullen AB,5591671044,3.0,44.0,3.0,2,1.0,0.0
West Trade Corporation Stockholm AB,5569630519,2.0,36.0,2.0,1,2.0,0.0
Akustikbyrån T4P AB,5566832480,2.0,47.0,4.0,3,2.0,0.0
Millimeter Arkitekter AB,5591589584,4.0,63.0,4.0,3,10.0,0.0
Yster Construction AB,5590824883,3.0,61.0,6.0,5,19.0,0.0
Skoglunds Byggnadsplåtslageri Aktiebolag,5563970903,2.0,63.0,3.0,2,3.0,0.0
Tyresö Rör Aktiebolag,5561145441,2.0,47.0,4.0,3,2.0,0.0
WP Hus AB,5591013213,2.0,31.0,3.0,2,0.0,0.0
MBergfjord VVS och Fastighetsteknik AB,5569062390,2.0,47.0,3.0,2,2.0,0.0
AB Dotter MYP Internationella sektionen,5568795149,3.0,59.0,4.0,3,5.0,0.0
Emilios El & Byggentreprenad AB,5569580284,2.0,36.0,4.0,3,0.0,0.0
Bernt Tapper Aktiebolag,5563854123,3.0,74.0,2.0,1,7.0,0.0
Allbygg Entreprenad Stor Stockholm AB,5569528085,2.0,37.0,3.0,2,3.0,0.0
Roslagens Mark & Trädgårdsanläggning AB,5565729315,2.0,63.0,2.0,1,5.0,0.0
MARKSTYRKAN AB,5567039184,3.0,54.0,2.0,1,1.0,0.0
Rockpeak Properties AB,5569776155,3.0,45.0,7.0,6,21.0,0.0
Soukra Construction Machinery Trading AB,5590487210,2.0,37.0,6.0,5,16.0,0.0
RH Stockholms TakEntreprenad AB,5568023377,2.0,40.0,5.0,4,4.0,0.0
Nordic Construction Management AB,5590729561,3.0,49.0,2.0,1,2.0,0.0
LMTA Entreprenad Sverige AB,5590414453,2.0,36.0,2.0,1,2.0,0.0
A-direkt AB,5567821979,2.0,44.0,32.0,31,24.0,0.0
Sands Entreprenad Stockholm AB,5590638135,3.0,35.0,2.0,1,6.0,0.0
XYZDP Scandinavia AB,5569042590,3.0,50.0,4.0,3,4.0,0.0
SEMCO Elektro-Mekaniska Verkstad                  Elisabeth Damstedt AB,5565695284,3.0,60.0,5.0,3,9.0,0.0
Urbanson & co AB,5591854418,4.0,51.0,6.0,4,3.0,0.0
Themptander VVS AB,5569325813,2.0,44.0,3.0,2,3.0,0.0
Titania El-Service AB,5567406326,3.0,42.0,23.0,22,61.0,0.0
Aston Design AB,5591665392,2.0,42.0,3.0,2,4.0,0.0
Turex Rör Aktiebolag,5561111690,3.0,52.0,3.0,2,1.0,0.0
Viphaus AB,5590970538,1.0,38.0,2.0,1,2.0,0.0
VIDA Arkitektkontor AB,5567861504,4.0,55.0,3.0,2,7.0,0.0
STHLM KLIMAT AB,5591104129,3.0,43.0,7.0,4,2.0,0.0
Ross & Hart Byggnads AB,5590144092,2.0,39.0,5.0,4,9.0,0.0
Stockholms Golv & Måleri AB,5569594095,2.0,35.0,3.0,2,0.0,0.0
Condrill Aktiebolag,5561552802,5.0,67.0,3.0,2,0.0,0.0
M27El AB,5591104756,2.0,41.0,4.0,3,7.0,0.0
Thulefastigheter Aktiebolag,5564610979,3.0,62.0,6.0,5,9.0,0.0
L. Looft AB,5567183776,2.0,41.0,28.0,27,38.0,0.0
VSM Rental AB,5569965568,2.0,59.0,18.0,17,16.0,0.0
NuvoAir AB,5569247686,5.0,51.0,14.0,12,24.0,0.0
Nano Miljö AB,5566054150,2.0,68.0,5.0,4,5.0,0.0
Johan Viklunds VVS AB,5590182266,2.0,32.0,2.0,1,3.0,0.0
Spånga Måleri & Bygg AB,5590705462,4.0,31.0,6.0,5,6.0,0.0
Professional Television Scandinavia Aktiebolag,5565201919,2.0,52.0,4.0,3,12.0,0.0
OP Optimal Progress Consulting AB,5567587539,3.0,58.0,3.0,2,5.0,0.0
Star Crew Europe AB,5566395355,2.0,51.0,3.0,2,5.0,0.0
Nordblick Homes Produktion AB,5591530166,4.0,43.0,46.0,45,34.0,0.0
Gravity Group AB,5568885619,3.0,45.0,4.0,3,4.0,0.0
Stuvsta Rör Aktiebolag,5562665942,3.0,42.0,6.0,5,9.0,0.0
Söderberg Söderberg AB,5568101785,2.0,51.0,4.0,2,7.0,0.0
Aplace One AB,5566719646,3.0,39.0,7.0,6,22.0,0.0
Kvadratmeter Roslagen AB,5568864366,3.0,41.0,2.0,1,1.0,0.0
Två Alfa AB,5569659112,6.0,41.0,3.0,2,6.0,0.0
Ablix Project AB,5568941362,,,5.0,5,14.0,0.0
Cortea Hemma AB,5590144225,4.0,51.0,6.0,2,8.0,0.0
Sjöstadens Elteknik AB,5590831706,3.0,41.0,2.0,1,0.0,0.0
So Fine Design AB,5568636855,2.0,48.0,2.0,1,3.0,0.0
PROGRESSO RM AB,5568241656,2.0,41.0,2.0,1,5.0,0.0
Örkälla Bygg AB,5568872922,2.0,40.0,3.0,2,2.0,0.0
Komplex Bygg i Stockholm AB,5590898754,2.0,31.0,2.0,1,0.0,0.0
Knut Jönson Ingenjörsbyrå i Sigtuna Aktiebolag,5565630521,2.0,44.0,3.0,2,9.0,0.0
Lennart Nilsson & Partners Aktiebolag,5565448122,4.0,59.0,4.0,3,8.0,0.0
Mälarö Golf AB,5564893690,4.0,63.0,3.0,2,14.0,0.0
