company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
ROGEAB Aktiebolag,5591313506,2,51,Shaba; Redar Slewa Shaba,1,0,ROGEAB Aktiebolag
Atrio Arkitekter Stockholm AB,5591010011,4,42,Karlsudd; Anna-Mi Linnéa,1,0,Atrio Arkitekter Stockholm AB
GTH Villamontage AB,5591734180,3,60,Tolvers; Göran Erik Robert,3,3,Bostadsrättsföreningen Fjällfoten i Idre|GTH Villamontage AB|Bostadsrättsföreningen Söder Gård
Okai Ljusprodukter AB,5565270393,2,54,Bergenwall; Tommy Henning,1,5,Okai Ljusprodukter AB
Supportelit Sverige AB,5590703582,2,41,Arya; Saman,6,6,Birgittas Bageri Nacka Strand AB|Supportel i Stockholm AB|Supportelit Sverige AB|Pier 66 AB|Nacka Beach Bakery AB|Amelcas AB
Djulstedt Consulting AB,5591536015,3,54,Djulstedt; Fredrik Carl Tomas,2,4,Djulstedt Management AB|Djulstedt Consulting AB
Kälesjös EL AB,5568367469,2,71,Kälesjö; Bjarne Yngve,1,1,Kälesjös EL AB
Mitheko AB,5564317344,3,50,Thorshag; Hans Mikael,2,0,Mitheko AB|MITHEKO
R&R DesignBygg och Koncept AB,5568285646,2,48,Ruhedorfer; Per Staffan,2,0,R&R DesignBygg och Koncept AB|Eriksgårdens Fjällhotell AB
F.M.E. El Bygg & Anläggning AB,5562432822,2,40,Frölin; Marcus Anders,1,0,F.M.E. El Bygg & Anläggning AB
Winbo Bygg & Design AB,5568380116,2,36,Winbo; Johan Claes Åke,3,1,Winbo förvaltning AB|Winbostäder AB|Winbo Bygg & Design AB
Sundin Söderling AB,5569651945,3,37,Sundin; Josephine Eva Caroline,1,0,Sundin Söderling AB
Sundin Söderling AB,5569651945,3,37,Söderling; Jenni Christina,5,5,Sundin Söderling AB|Robin Söderling AB|Olivia Invest AB|Mjölkörten Invest AB|Svea Montessoriförskola; ekonomisk förening;      Djursholm
LINDGRENS ELBYRÅ AB,5591655104,2,36,Lindgren; Hans Christoffer,1,0,LINDGRENS ELBYRÅ AB
Voledo AB,5569537722,3,52,Davidsson; Håkan Zackarias,10,17,Voledo AB|Markmodern Management AB|Voledo Fastigheter AB|Styvdottern AB|Kort dotter AB|U Strand Holding AB|Munkholmen 2 Holding AB|Lång dotter AB|Markmodern AB|Håkan Davidsson Holding AB
Voledo AB,5569537722,3,52,Griskus; Valdemaras,2,0,Voledo Fastigheter AB|Voledo AB
BorrKungen AB,5591823231,2,40,Klinga; Mikael Kristian,1,1,BorrKungen AB
BorrKungen AB,5591823231,2,40,Wilkinson; Nathalie Marlene,1,4,BorrKungen AB
Tännäs Resort AB,5566688601,3,63,Callenholt; Märtha Margita,32,22,UNIHOME AB|Tännäskröket AB|Trademark Outlets STO AB|Tännäs Resort AB|Alavas Sverige AB|Booaormen AB|Lamamba i Nacka AB|Sharpness XET AB|NB Nya Booaormen AB|Proffs Produkter i Sverige AB|Torshäll Fastigheter AB|Bulus Invest AB|Kärgården AB|EUROHOME Fastighets AB|INTEMA Kök & Bad AB|Strömma Projekt AB|Hemmesta Stockholm Holding AB|Nackadom Förvaltning AB|Domicil Stockholm AB|Anakondan i Skarpnäs AB|Snowing365 AB|Bostadsrättsföreningen EP Värmdövik|Bostadsrättsföreningen Storskogen Stavsnäs 1|Bostadsrättsföreningen Storskogen Stavsnäs 2|Bostadsrättsföreningen Majbacka Strömma|Unihold AB|Bostadsrättsföreningen Strömma 1:55|Bostadsrättsföreningen Nacka EP Fjällan|Inter Mark & Last i Nacka AB|Bostadsrättsföreningen Lännersta 1:807|Fastighetsbolaget Saltsjö-Boo AB|Bostadsrättsföreningen Värmdö EP Stavsnäs 3
Tännäs Resort AB,5566688601,3,63,Callenholt; Jenny Veronica,16,37,Destination Funäsfjällen AB|Tännäskröket AB|Tännäs Resort AB|QCollective Development AB|That Film Stockholm AB|Torshäll Fastigheter AB|Bulus Invest AB|Strömma Projekt AB|Quinspirera|Wellgo AB|Bostadsrättsföreningen Majbacka Strömma|Bostadsrättsföreningen Strömma 1:55|Bostadsrättsföreningen Grytet|Bostadsrättsföreningen EP Värmdövik|Bostadsrättsföreningen Lännersta 1:807|Unihold AB
STHLM Värmeservice AB,5590561923,4,50,Norén; Niklas Alexander,6,11,CANOIL AB|STHLM Värmeservice AB|CANO Invest AB|STHLM Facility Services AB|STHLM ADR & Tank Transport AB|STHLM Facility Services Hagalund AB
Create/Remain Stockholm AB,5568854920,2,46,Rosendahl; Per Erik,2,3,Ull & Skade AB|Create/Remain Stockholm AB
Create/Remain Stockholm AB,5568854920,2,46,Rubenman; Stig Magnus,2,2,Ull & Skade AB|Create/Remain Stockholm AB
WesterDO AB,5591683213,3,34,Wester; David Georg,1,0,WesterDO AB
WesterDO AB,5591683213,3,34,Wester; Oscar Villiam,2,0,WesterDO AB|WesterDO Living
Brandkonsulten Peter Andersson AB,5568615685,2,45,Andersson; Bo Jan Peter,1,0,Brandkonsulten Peter Andersson AB
Pr & Ba Måleri AB,5567445746,3,57,Andersson; Börje,1,1,Pr & Ba Måleri AB
Pocius Bygg Finsnickeri och Städservice AB,5591591143,2,37,Pociené; Ramune,1,0,Pocius Bygg Finsnickeri och Städservice AB
Pocius Bygg Finsnickeri och Städservice AB,5591591143,2,37,Pocius; Zydrunas,1,1,Pocius Bygg Finsnickeri och Städservice AB
Skolgrossisten Sverige AB,5567553515,3,57,Jonsson Holm; Lena Sofia,4,7,Skolgrossisten Sverige AB|Sonetten Venture AB|Strandriddaren 4 AB
Anders Obäck AB,5568399835,3,44,Obäck; Hans Anders,1,2,Anders Obäck AB
R&J CONSTRUCTION AB,5590700836,2,41,Lesniewski; Roman Robert,1,1,R&J CONSTRUCTION AB
Kå-Ges Schakt & Dumper Aktiebolag,5561822908,2,57,Karlsson; Karl Magnus,2,0,Kå-Ges Schakt & Dumper Aktiebolag|MAGNUS SCHAKT & DUMPER I ÅKERSBERGA
Grym Stängsel i Stockholm AB,5591530059,2,32,Kaczmarek; Margaretta Agata,1,1,Grym Stängsel i Stockholm AB
Huddinge Plåtslageri AB,5590598321,2,30,Einarsson; Leif Erik Tommy,1,0,Huddinge Plåtslageri AB
J G Borrmetoder AB,5568566185,2,38,Green; Jonas,3,3,DISAB HÅLTAGNINGS Aktiebolag|Mias Massage Inre Hälsa & Avslappning AB|J G Borrmetoder AB
Qruxel AB,5567273148,2,33,Fjell; Ludvig Olov Mikael,2,8,Qruxel AB|Jenny Fjell Psykiatrisk Konsult Aktiebolag
