name,id,number_of_board_members,avg_age_of_board,total_active_assignments,total_prev_assignments
A Bergman Rör AB,5567988125,,,nan,nan
A Brash AB,5568391519,2,39,3,1
A Bygg och Montage i Piteå AB,5568871411,2,47,nan,nan
A Byggare i Väst AB,5569369977,2,45,nan,nan
Bravida Örnsköldsvik El AB,5564160371,,,nan,nan
A C Ställningsmontage Aktiebolag,5563594406,2,49,3,1
A Co Tak & Montage AB,5590478649,3,46,nan,nan
A D Gustafssons Rör AB,5567054589,2,37,nan,nan
A Dahlqvist Bygg & Betong AB,5590030499,6,54,6,1
A Gunnarssons Bygg AB,5568608961,4,49,nan,nan
A Hassel AB,5565277547,2,55,nan,nan
A Hedlund Bygg AB,5568416316,2,51,nan,nan
A Hedlunds Måleriaktiebolag,5563014082,2,52,9,7
A Jansson Bygg & Entreprenad AB,5568594161,2,45,nan,nan
A Jonsson Entreprenad Aktiebolag,5563458065,2,57,nan,nan
A Jönsson Bygg & Handel AB,5569804767,3,53,nan,nan
A Krantz Aktiebolag,5562799303,,,nan,nan
A M Johansson Bygg AB,5567154264,2,74,nan,nan
A M Plåt & Ventilation AB,5568361397,3,52,nan,nan
A Malmborgs Bygg AB,5569292385,2,47,nan,nan
A Modigs Plåt & Underhåll AB,5562242684,2,60,nan,nan
A Måleri & Golv i Uppland AB,5562074129,3,52,1,4
A Olsson Grund & Betong AB,5561780833,2,60,8,1
A P H Elektriska Aktiebolag,5562301597,3,63,nan,nan
A T I Byggtjänst Aktiebolag,5562095025,2,49,nan,nan
A & D Appelgren Bygg AB,5568907470,,,nan,nan
A & K Entreprenad AB,5568057300,3,51,nan,nan
A & R Axelssons Bygg Aktiebolag,5564791738,2,40,2,3
A. Berglunds vägunderhåll AB,5565207023,3,59,nan,nan
A. Bildmark & Son Aktiebolag,5560363920,2,49,1,3
A. Börjesson Bygg Aktiebolag,5561291898,2,58,nan,nan
A. Davidsson Måleri & Golv AB,5563543353,3,50,4,6
A. Engströms Bygg AB,5566227400,2,55,nan,nan
A. Johansson Maskiner AB,5568429491,2,55,nan,nan
A. Karlsson Bygg Mellbystrand AB,5566531843,2,50,nan,nan
A. M. Pumptjänst Aktiebolag,5567254684,3,63,nan,nan
A. Madsens Takservice Aktiebolag,5565867677,2,50,4,1
A. Nordbecks Entreprenad Aktiebolag,5561289652,4,47,6,4
A. Perssons Elektriska Aktiebolag,5561243147,3,43,nan,nan
A. Pettersson Bygg AB,5567613640,2,59,nan,nan
A. Sköld Entreprenad AB,5567173868,2,42,nan,nan
A. Z. Måleri & Fasad AB,5568355605,2,38,nan,nan
A. Öström Fastigheter AB,5562751312,2,74,nan,nan
A.Castewik snickerier AB,5590142716,2,59,nan,nan
A.E.M Bygg AB,5590577523,3,44,nan,nan
A.F.C. El Aktiebolag,5560795931,2,68,1,0
A.G. Kakelspecialisten AB,5565469490,2,58,nan,nan
A.G.S Smide AB,5568801533,2,48,1,1
A.J. Svetsning AB,5569988776,2,39,1,0
A.L. Ivarsson Fönster Aktiebolag,5564488426,2,64,5,8
A.Lennartsson VVS-Service AB,5568646706,2,54,nan,nan
A.M Bygg & Takbolaget i Sthlm AB,5569297285,2,43,1,2
A.M.P Signalteknik AB,5567811137,3,43,nan,nan
A.N Måleri i Hammarö AB,5568247125,2,44,nan,nan
A.n.k bygg & renovering AB,5568420888,2,37,nan,nan
A.Palmérs i Mönsterås AB,5566854948,2,55,nan,nan
A.R.G Takmåleri & Service AB,5565129789,,,nan,nan
A.T.F. Consulting AB,5563760080,3,65,nan,nan
A.V.D. Värme och Vatten Aktiebolag,5561664920,2,34,3,1
A.W. Jonaeson Bleck & Plåtslageri Aktiebolag,5560666389,3,36,2,3
AA - Glas AB,5567240642,6,52,nan,nan
AABCMS Ventilation; Plåt; El & Styr Gruppen AB,5564921947,2,45,nan,nan
Aadax Totallås AB,5567507685,2,64,nan,nan
Aktiebolaget AH Cederqvist & Söner,5563523371,3,63,nan,nan
Aktiebolaget Ahls Isoleringsfirma,5564904331,2,57,nan,nan
AB Allmänna Lås i Limhamn,5568437395,3,56,nan,nan
Aktiebolaget Alper Plåt & Ventilation,5561709873,3,60,nan,nan
AB Andrés VVS i Uppland,5566091582,2,44,nan,nan
AB Apexis,5568112980,2,35,nan,nan
Aktiebolaget Arnäs Glas,5561844506,3,51,nan,nan
Aktiebolaget Aros Rör och Svets,5563483113,3,60,nan,nan
Aktiebolaget Artur Sjöberg Smide,5560576273,3,51,4,3
Aktiebolaget Automat- & Kyltjänst ABAK,5563440089,3,55,nan,nan
Aktiebolaget Axel & Hartvig Nylander,5560545401,3,55,nan,nan
Aktiebolaget Bandhagens Glasmästeri & Ramaffär,5561236943,2,36,1,0
AB Beletorps Maskiner,5566850169,2,53,13,8
Aktiebolaget Bengt Fredin Taktäckning & Isolering,5561335950,4,42,3,4
Aktiebolaget Bengt Karlssons Brunnsborrningar     i Alsterbro,5567256028,2,48,nan,nan
Aktiebolaget Bergsbyns Plåt,5561822569,4,49,nan,nan
AB Betongborrning & Sågning i Ljungbyhed,5565144853,2,57,nan,nan
Aktiebolaget Betongbröderna,5564131950,2,68,nan,nan
Aktiebolaget Bors Rör,5561690859,4,55,nan,nan
AB Boxholmsteknik,5566628490,7,72,3,5
Aktiebolaget Bredareds Brunnsborrning,5561953760,2,56,nan,nan
Aktiebolaget Bresons Grävmaskiner,5560958869,3,61,nan,nan
Aktiebolaget Brobergs Rörledningsfirma,5561907501,3,66,nan,nan
AB Bror R Sjöbergs Måleri,5567997415,2,49,nan,nan
Aktiebolaget Brämhults Värmeteknik,5561265306,2,60,nan,nan
Aktiebolaget Bröderna Bergströms Gräv- &          Dumpermaskiner,5562864917,2,59,nan,nan
Aktiebolaget Bröderna Falk Byggnadsställningar    Eftr.,5561206094,3,51,5,4
Aktiebolaget Bröderna Hellmans Glasmästeri,5560485475,3,51,nan,nan
Aktiebolaget Bröderna Holsts Golvbeläggning,5560734179,3,55,1,1
AB Bröderna Lax,5568100662,2,46,nan,nan
Aktiebolaget Bröderna Thorins Grävmaskiner,5561510875,2,51,nan,nan
Aktiebolaget BR-Montageservice,5562974005,3,54,nan,nan
AB Bygg ABCDE,5568837875,,,nan,nan
AB Bygg PP; Preben Petersen,5566107479,2,65,2,2
AB Bygg Selå,5565563375,2,47,nan,nan
AB Bygg & Villaregi i Halmstad,5590010350,2,42,nan,nan
AB Byggbyrån i Örgryte,5567195234,2,47,nan,nan
Aktiebolaget ByggLusth,5563008845,3,55,nan,nan
AB Byggnadsställningar Brämhult,5567529010,2,43,nan,nan
AB Byggplåt i Landvetter,5567573422,4,56,nan,nan
AB Byggprojekt i Dalarna,5563797983,2,59,nan,nan
AB Byggruppen i Marieholm-Göteborg,5569313868,3,42,2,0
Aktiebolaget Bång & Lewerth,5561747410,4,54,nan,nan
AB Bäckströms Eftr.,5568208655,7,47,nan,nan
Aktiebolaget C.R. Malms Trädgårdsanläggningar,5560830381,2,59,nan,nan
Aktiebolaget Carléns Måleri,5565046066,3,52,nan,nan
Triclima Installation AB,5564520475,3,54,5,6
Aktiebolaget Cemek,5560453804,4,65,nan,nan
Aktiebolaget City Hiss Stockholm,5565146031,2,58,nan,nan
Aktiebolaget Clois Serneberg,5561420752,,,2,10
AB Confrema Entreprenad,5569105819,3,47,9,11
Aktiebolaget Cyréns i Skåne,5569648776,2,58,nan,nan
Aktiebolaget Cyréns Trädgårdsanläggningar,5563432276,2,62,nan,nan
Aktiebolaget D. Sjölunds Värme,5561859850,3,37,nan,nan
AB Dala Entreprenad,5567469951,2,44,nan,nan
Aktiebolaget Dan Gustavssons maskinstation,5564427697,3,58,nan,nan
Aktiebolaget Davidssons Marktjänst,5563155448,2,65,4,1
Aktiebolaget Deje Byggtjänst,5560736992,2,53,1,0
AB DI Tech Drilling Energy,5569761728,2,52,nan,nan
AB Elfirman Zetterlund o Dahlöv,5566943881,3,52,nan,nan
AB Elkraft Standal,5564471158,2,59,nan,nan
AB Elteam Norrtälje,5567023998,4,53,2,2
AB Elvings Brunnsborrning,5562233444,3,63,nan,nan
Aktiebolaget ElWest Sverige,5562428291,3,53,nan,nan
AB Emanuelsson VVS-Byrå,5567373112,2,46,nan,nan
Aktiebolaget Emådalsschakt,5561962324,2,48,nan,nan
AB Energiekonomi i Farsta,5562058833,3,46,nan,nan
Aktiebolaget Ericsbergs Säteri,5560519240,6,60,7,1
Aktiebolaget Erlandsson's VVS & fastighetsservice,5590679139,2,51,nan,nan
AB Evelko,5569749137,5,56,3,7
Slutplattan VIPNO 106119 AB,5566433529,,,nan,nan
Aktiebolaget Falkenbergs Plåtslageri,5561219170,2,45,nan,nan
Aktiebolaget Falkenbergs Taktäckning,5564117637,2,46,nan,nan
Aktiebolaget Fiddelboden,5564473022,2,62,nan,nan
Aktiebolaget Fjugesta Elektriska,5561952978,4,49,nan,nan
Aktiebolaget Fläktman,5563022580,2,56,nan,nan
Aktiebolaget Forserums Kran & Montage,5563653046,2,62,nan,nan
Aktiebolaget Fristads Bleck & Plåtslageri,5561416743,2,44,nan,nan
Aktiebolaget Frölunda Betonggolv,5562013523,2,57,4,6
Aktiebolaget Gardells Plåtslageri,5560890138,2,51,nan,nan
Aktiebolag Geo-Byggen,5564594314,3,64,nan,nan
Aktiebolaget Gerald Karlsson,5560967712,3,52,6,5
AB Gevert Bergman Bygg & Co,5566157094,4,57,2,0
Aktiebolaget Gislaveds Glasmästeri,5560880600,2,61,nan,nan
AB GMS Plåtslageri,5590075874,2,41,2,2
AB Golv non stop,5567251102,3,47,1,2
AB Golv & Tak,5563128403,4,65,2,4
AB Golvinteriör,5564121621,4,57,3,1
Aktiebolaget Golv-City i Vetlanda,5561316612,3,59,nan,nan
AB GRUPLAS,5566211412,3,53,nan,nan
AB Grönstedts Entreprenad,5566996327,2,53,nan,nan
Aktiebolaget Göteborgs Golvläggarecentral,5560902784,3,54,nan,nan
Aktiebolaget Habo Rör,5564933603,3,52,2,4
Aktiebolaget Halmstad Golvservice,5560968892,,,4,4
Aktiebolaget Hedemora Glasmästeri,5561897603,2,57,nan,nan
Aktiebolaget Hemse Plåt,5562825967,2,35,nan,nan
Aktiebolaget Henriksbergs Verkstäder,5563139673,2,51,nan,nan
Aktiebolaget Hessels Måleri Färgcenter,5562895564,2,66,nan,nan
AB Hisscompaniet Skåne,5567777544,3,55,nan,nan
Aktiebolaget Hjalmar Ohlssons Elektriska Byrå,5560517236,2,51,nan,nan
Aktiebolaget Hofors VVS-Installationer,5562962133,3,47,nan,nan
AB Hultaberg Måleri,5568771991,2,72,nan,nan
Aktiebolaget husbyggarna i kungens kurva,5569994840,2,51,5,4
Aktiebolaget Hus- & Villaträdgårdar Lindstedt & Co,5562801174,3,55,3,3
Aktiebolaget Hylte Rörbolag,5564145463,2,45,nan,nan
Aktiebolaget Hägglunds Last & Schakt,5562885490,3,68,2,3
Aktiebolaget Högsbo Plåtslageri,5564468378,3,60,nan,nan
Aktiebolaget Idrotts- och Trädgårdsanläggningar,5560606419,,,0,0
Aktiebolaget Industri & Privatlarm i              Göteborg,5563233534,3,60,nan,nan
AB Intos Entreprenad,5591085542,2,58,nan,nan
AB IPS Alarm Direct,5560637448,4,42,6,8
AB Isacsons Betonghåltagning i Solna,5569383622,,,nan,nan
Aktiebolaget Isoton,5560652629,2,69,2,2
Aktiebolaget I3AHCO Service,5563526259,4,61,4,8
AB JND Byggteknik,5567168694,3,59,nan,nan
AB Johan Ventilation,5565826509,2,56,nan,nan
Aktiebolaget John E. Öhrén,5561535971,5,58,nan,nan
Aktiebolaget Jo-Lu-produkter,5560948761,2,43,nan,nan
Aktiebolaget Julius El,5564490034,2,64,nan,nan
Aktiebolaget JUNOSUANDO BYGG,5563357937,3,67,1,3
Aktiebolaget Järfälla Låsservice,5561312660,2,44,nan,nan
Aktiebolaget Järnforsens Plåtslageri,5561875260,4,63,1,0
Aktiebolaget K.G. Karlssons Rörledningsfirma,5560928680,3,53,2,4
Aktiebolaget Kahlin Strinning Markskötsel,5566617139,3,44,nan,nan
AB Kakel i Väst Byggservice,5569977571,3,35,nan,nan
AB Kakel i Väst Göteborg,5567938617,3,46,nan,nan
Aktiebolaget Kalix Elektriska Affär,5561254979,3,60,nan,nan
AB Kanova VVS,5567896260,4,40,1,2
Aktiebolaget Karlskrona Kylservice,5562019546,5,61,8,17
AB Karlssons Bygg & Skorstensservice,5565155651,3,57,2,2
Aktiebolaget Kindblom Byggservice,5561142968,3,66,nan,nan
AB KJ Väg & Anläggning,5562613819,2,49,nan,nan
Aktiebolaget KJ:s Maskiner,5563509537,2,49,4,9
Aktiebolaget Knuttes Rör,5560101312,3,53,2,4
AB Kristianstad Fasadservice,5566562202,4,59,nan,nan
Aktiebolaget Krok och Spade Maskinuthyrning,5561554824,6,54,3,3
Aktiebolaget Kumla Elektromontage,5565019535,2,44,nan,nan
Aktiebolaget Kungslås,5560774530,2,53,nan,nan
Aktiebolaget Kungälvs Trädgårdsentreprenör,5560956590,1,48,nan,nan
Aktiebolaget Kurt Lundström Målerifirma,5561971572,4,56,nan,nan
Aktiebolaget Kurt-Görans Elektriska,5561546804,2,57,2,3
AB Kvidinge Plåtslageri,5565416236,2,57,nan,nan
Aktiebolaget Kyl & Värmepumpar Åkesson & Berglund,5568040595,4,46,nan,nan
AB Lahti's Tak & Bygg,5566917604,2,59,nan,nan
Aktiebolaget Langs Elektriska,5561274308,2,50,nan,nan
Aktiebolaget Lerums Lås & Larmservice,5563998128,2,63,nan,nan
Aktiebolaget Levanten & Co i Norrköping,5561590448,3,73,nan,nan
Aktiebolaget Lidingö Elektriska,5561006676,4,56,4,3
Aktiebolaget Lidingö Glasmästeri,5563140663,2,54,nan,nan
Aktiebolaget Lindqvist Sanering & Rivningsfirma,5562325026,,,12,24
AB Lindros Byggservice,5568512189,2,40,nan,nan
Aktiebolaget Linds Rör,5562948900,2,54,nan,nan
Aktiebolaget Luleå Glas,5562046853,2,46,1,3
Aktiebolag Lysekilsmålarna,5563241214,2,58,nan,nan
Aktiebolaget Låscentralen E. Borgström,5560700618,2,45,3,7
AB Låsfirman i Öresundsregionen,5568524929,2,50,nan,nan
Aktiebolaget Låssnabben,5562464254,2,60,nan,nan
Aktiebolaget Lödde Plåt,5564873031,2,42,nan,nan
AB Malmens Elmontering,5565124673,3,45,nan,nan
Aktiebolaget Malmöregionens avlopp,5560734336,12,67,7,2
Aktiebolaget Maskintjänst i Varberg,5563052348,2,43,nan,nan
AB Maxall,5567604011,2,46,nan,nan
Aktiebolaget Mellanströms Schakt & Planering,5560834367,2,51,nan,nan
Aktiebolaget Modigs Maskiner,5561823484,4,57,nan,nan
Aktiebolag Mora Byggservice,5562206572,2,47,2,2
Aktiebolaget Mora El-Byrå,5560719915,6,49,nan,nan
AB Mullsjö Brunnsborrningar,5567169031,2,57,nan,nan
AB Mullsjö Bygg & Tak,5567515365,2,52,nan,nan
Aktiebolaget Murarfirma CTJ,5568823255,3,41,nan,nan
AB Måleri Tre Penslar,5565631461,2,62,nan,nan
Aktiebolaget Nacka Industrifläkt,5564505179,3,47,nan,nan
Great Security Nacka AB,5562239722,4,52,2,2
AB Niclas Pettersson,5565257028,2,54,nan,nan
AB Nilsson & Johansson El,5565905014,2,36,nan,nan
Aktiebolaget Nilssons Last & Grävmaskiner,5562087402,3,57,nan,nan
AB Norrfjärdens Brunnsborrningar,5566889894,2,44,nan,nan
Aktiebolaget NORRLÅS,5564271095,2,53,nan,nan
Aktiebolaget Nybro Gräv & Schakt,5561028977,2,49,nan,nan
AB Byggbeslag Lås & Säkerhet,5561723593,2,52,10,18
AB Näsum Betonghåltagning,5566358601,4,57,3,9
Aktiebolaget Nävragöls Elaffär,5560915463,2,55,nan,nan
Opalab Relining AB,5569009953,3,46,5,3
Aktiebolaget Oredssons Elektriska,5561313874,2,57,nan,nan
Aktiebolaget P.O. Roll,5561900597,3,66,1,0
Aktiebolaget PATRIK SNICKARE I BÅLSTA,5564242187,2,55,nan,nan
AB PERFEKT MÅLERI I GÖTEBORG,5567756811,3,42,1,4
AB Peter Håkansson Betong & Bygg,5567164925,2,52,nan,nan
Aktiebolaget Plåtcenter i Halmstad,5563468635,4,59,nan,nan
Enviroom AB,5569475451,4,46,3,8
Aktiebolaget Puts & Fasadtvätt,5561529404,4,56,nan,nan
Aktiebolaget Qvistgaards Snickerier,5568145378,2,44,nan,nan
Aktiebolaget R. A.-Byggen,5560567827,3,62,5,3
Aktiebolaget Rallarna i Göteborg,5569659724,2,40,nan,nan
AB Rasbokils VVS,5569243354,2,63,nan,nan
AB Redmos Rör,5566742408,2,58,nan,nan
AB Renovera Bygg i Skåne,5568523541,2,46,nan,nan
Aktiebolaget Roslagsbrunnar,5561872176,2,65,nan,nan
Aktiebolaget Runol Janssons Grävmaskiner,5562907682,3,58,nan,nan
Aktiebolaget Rådbergs Grundläggnings & Schakt-    entreprenader,5562411347,2,67,nan,nan
Aktiebolaget Råsmarks El,5563411791,3,36,nan,nan
AB Rörbjörnen,5567762918,3,43,5,4
AB Rörmokar'n i Solna,5565438339,2,54,nan,nan
Aktiebolaget S & M Sandströms Elfirma,5565393815,2,57,nan,nan
AB Scandinavian klinker and new floor,5566534466,2,50,nan,nan
Aktiebolaget Schakt & Transport,5560548751,7,52,1,3
AB Schübergs Gräv & Schakt,5567831374,2,50,nan,nan
Aktiebolaget Sebroc Bygg,5569291189,2,38,nan,nan
AB Segeltorps Rör Stockholm,5568971815,2,59,nan,nan
Aktiebolaget SHC - Byggservice,5562696376,2,61,nan,nan
AB Sjöbo Anläggning & Trädgård,5566536263,2,55,nan,nan
AB Sjögård Entreprenad,5566381538,3,45,nan,nan
Aktiebolaget Sjömaskiner Katrineberg,5562780311,3,63,3,3
AB Skandwell,5568838071,2,43,nan,nan
Aktiebolaget Skooghs Kranar,5562240761,2,56,nan,nan
Aktiebolaget Skåne Lås.,5561833202,3,59,2,1
AB SKÄRGÅRDSINSTALLATIONER,5568339948,4,50,1,8
AB Smålands Undertak,5567833503,,,nan,nan
Aktiebolaget Snowtech,5564562352,,,3,4
Aktiebolaget Sollefteå Sprängtjänst,5561548305,2,60,1,0
AB Solna byggprojekt,5569633794,2,64,1,2
Aktiebolaget Spades Trädgårdsanläggningar,5561435669,3,47,nan,nan
Aktiebolaget Stig Ringström & Son,5561071779,2,68,nan,nan
AB Stockholmshem Fastighetsnät,5567155394,3,55,nan,nan
AB Storå Rör,5561306076,2,57,nan,nan
Aktiebolaget Stor-Stockholms Plåtslageri,5561666529,3,57,nan,nan
AB Strömberg & Andersson Rörledningsfirma,5565584751,3,60,nan,nan
AB Strömstanet,5568520802,10,57,5,5
AB Sture Larssons Måleri,5564335056,3,52,1,1
Aktiebolaget Stålung Bygg & Sten,5568719339,2,51,nan,nan
Aktiebolaget Sundåsens Rör,5561181982,3,60,1,0
Aktiebolaget Surahammars Elaffär,5560756800,4,47,4,4
AB Svedlunds Byggteknik,5568377641,2,45,1,1
AB Svensk Brandtätning,5568194723,3,50,nan,nan
AB Svensk Bygg & Förvaltning,5567446058,2,60,4,9
AB SVENSK VÄRME,5567382873,3,54,2,13
Aktiebolaget Svenska Betonghus,5569102790,3,56,nan,nan
Aktiebolaget Svenska Stenhus,5563829497,3,53,nan,nan
AB Svensson Tech i Habo,5566091194,2,43,nan,nan
AB Swedia El & Teleteknik,5568067085,2,53,nan,nan
AB Syd el i Malmö,5566150974,2,52,nan,nan
Aktiebolaget Såg- & Betongborrning,5563197283,2,42,2,4
Aktiebolaget Säkerhetsteknik i Norrköping,5567817456,2,47,nan,nan
AB Sällstorps Bygg T. Karlsson,5566569389,2,57,nan,nan
AB Sälshögs Betongteknik Tomelilla,5568777980,2,44,nan,nan
Aktiebolaget Sävsjö Rörtjänst.,5561025742,3,57,nan,nan
Aktiebolaget Södermännen,5568534563,3,38,nan,nan
Aktiebolaget Tak- och Väggmontering,5564919909,3,58,nan,nan
Halix VVS AB,5564156908,2,48,nan,nan
Aktiebolaget Tore Andersson Plåtslageri,5564114154,3,44,nan,nan
Aktiebolaget Torshälla El Service,5561282194,2,54,nan,nan
Aktiebolaget Torsten Hanssons Elektriska,5564228509,2,65,nan,nan
AB Trelleborgsställningar,5566102744,2,46,nan,nan
Aktiebolaget Truck- och Krantjänst,5560464470,3,40,2,2
Aktiebolaget Täby Elinstallationer,5566983663,2,48,nan,nan
Aktiebolaget Täckdikningar,5560771700,2,51,3,3
Aktiebolag Tätskiktsgarantier i Norden,5564529237,5,55,2,5
Aktiebolaget Ulricehamns Glasmästeri,5563797850,4,41,nan,nan
AB Vabon,5568766215,5,41,nan,nan
AB Vanstad Gräv,5565811956,2,57,1,1
AB VEE,5564520046,2,47,nan,nan
Laborator Q AB,5560670217,4,56,2,6
Aktiebolaget Vetlanda Glas,5560757766,2,50,nan,nan
AB VikaVimo Entreprenad,5566956768,4,51,nan,nan
Aktiebolaget Virserums Golvservice,5561096503,2,63,nan,nan
AB VVS och Kylteknik Nord,5567143473,,,6,8
Aktiebolaget Vågbro Rör,5561730812,3,52,nan,nan
Aktiebolaget Vårgårda Betongtjänst,5562031376,2,64,nan,nan
AB Vårgårda VVS,5565315933,3,64,nan,nan
Aktiebolaget Värmlandsborr,5561953372,2,57,nan,nan
Aktiebolaget Västerås Elspecialister,5563346716,2,57,nan,nan
AB Västerås Larm & Säkerhet,5566375977,2,39,nan,nan
BM Transportkylservice AB,5565508297,2,57,nan,nan
Aktiebolaget Västkustens Plåt &                   isolering,5563690626,2,60,nan,nan
Great Security Mekanik GBG AB,5566399720,4,49,nan,nan
Aktiebolaget Wermlands Byggplåt,5565057832,4,35,2,0
Aktiebolaget Widmans Gräv,5562886605,3,42,nan,nan
AB Willer Styrborr,5569268864,2,43,nan,nan
AB XYZ Plåt,5569981524,,,nan,nan
AB Årsta Bygg och Entreprenad,5590460985,4,45,3,2
Aktiebolaget Årsta Plåtslageri,5560832932,3,47,nan,nan
Aktiebolag Örebro Rörmontage,5563470524,3,52,nan,nan
AB Östgöta-Byggen,5565464608,3,39,3,1
AB 88 Kvadrat,5590770078,3,32,nan,nan
ABAB Sverige AB,5568129158,3,58,5,3
ABBE's BYGG AB,5568139900,2,55,nan,nan
Abbema Entreprenadschakt AB,5568445794,2,53,nan,nan
ABC Brunnsborrning AB,5568227432,2,53,nan,nan
ABC Franchise AB,5569202327,3,57,12,8
Filuni AB,5568570716,2,43,nan,nan
ABC Solutions Nordost AB,5590546080,4,49,9,8
ABC Solutions Sydsverige AB,5569723322,4,51,9,8
ABC Svets Service i Linköping AB,5565974408,2,44,nan,nan
Abet Stängselteknik AB,5563999209,4,39,1,2
ABIMA Gruppen AB,5562637180,2,36,3,7
ABK Tekniska AB,5567417125,2,51,nan,nan
ABL i Boden AB,5567044028,2,66,nan,nan
ABOK AB,5569429508,3,42,3,0
Abrahamsson Snickarservice AB,5568344559,4,47,1,0
Abrahamsson's Grävtjänst AB,5566294095,2,55,nan,nan
ABTK Anläggning och BetongTeknik Konsult AB,5565820981,3,42,6,13
ABTOT Aktiebolag,5564802477,4,66,nan,nan
ABTOT MARK OCH ANLÄGGNING AB,5569091548,4,41,6,11
Ac Acrylicon Fogfriagolv AB,5569169021,2,37,4,5
AC Byggtjänst i Umeå AB,5568268246,3,44,3,6
AC Communication Aktiebolag,5565296240,5,47,1,0
AC Ducting Stockholm AB,5569616252,2,31,nan,nan
AC EL I KARLSKRONA AB,5563886885,2,60,nan,nan
AC Golv och Plattsättning AB,5565439626,,,0,0
AC Nordtak AB,5568262959,2,51,nan,nan
Accent Måleri I Mälardalen AB,5568346372,4,55,nan,nan
Accept Byggnads AB,5568498215,2,47,nan,nan
Access Måleri & Entreprenad AB,5568176183,2,53,nan,nan
ACDC Elektro AB,5568319320,5,45,3,13
Acedelia AB,5567357966,2,54,nan,nan
Acira AB,5566295464,2,62,nan,nan
Ackduel Installation AB,5567300982,2,64,nan,nan
Ackevis Miljö El AB,5565425088,4,52,5,3
Acona AB,5568455355,3,64,3,0
Acoustic Montage SNJ Aktiebolag,5563289320,3,60,nan,nan
Schakt 0715 i Stockholm AB,5568018732,2,44,nan,nan
Acriplan AB,5567335251,2,45,nan,nan
ACRUX ENTREPRENAD AB,5569064602,3,51,8,4
Acrymaster Sweden AB,5563156875,2,31,nan,nan
ACS Entreprenad AB,5569574857,,,nan,nan
ACT M&B AB,5568086929,6,42,4,3
Activ Kyl & Klimatservice Holm AB,5565763124,3,58,nan,nan
Active Construction Technics i Årjäng AB,5590001714,2,46,nan,nan
Active Works AB,5566764535,2,53,26,66
Active Ventilation i Göteborg AB,5565851994,3,53,3,2
AD BASIC AB,5569251860,2,52,nan,nan
Adam Bygg66 AB,5569755712,2,54,nan,nan
Adam Fredholm Golv & Bygg AB,5567280614,2,58,nan,nan
Adamant Golvteknik Aktiebolag,5569116931,3,44,nan,nan
Adams Cistern & Rörisolering AB,5568536477,2,37,nan,nan
Adams El-service i Motala AB,5566805379,2,48,nan,nan
Adaris Byggservice AB,5569473381,2,63,nan,nan
Adax AS Filial Norge,5164082033,,,1,2
Adderalink Motala AB,5569299802,2,58,4,0
NorthCraft Construction AB,5569867897,3,39,nan,nan
Adeficator Bygg och Fastighetskonsult Aktiebolag,5567299275,2,58,nan,nan
Ademo Väst AB,5569097719,,,nan,nan
Ademptus Bygg AB,5565006987,2,59,nan,nan
Adeo Bygg AB,5569432569,,,nan,nan
Adesso Bygg Aktiebolag,5565462776,2,49,nan,nan
Adike AB,5568219546,2,49,nan,nan
Adlers Kranlyft Aktiebolag,5561628313,2,42,nan,nan
ADMD BYGG AB,5569048316,2,33,1,1
Adolfssons Bygg i Ingatorp AB,5567819452,2,49,1,0
ADP Alldoor Portar Aktiebolag,5562646652,2,62,nan,nan
ADP HUS AB,5568569593,2,45,5,2
Adroc Bygg & Tak AB,5568587363,2,48,nan,nan
Advena Bygg AB,5567091797,2,40,3,5
AD-Vent Installation Aktiebolag,5563352516,2,57,nan,nan
AF DECOM AS,5020696323,,,nan,nan
AF Installation AB,5590503776,2,39,4,3
AFAB Anläggning AB,5563173813,2,51,2,0
AFFES Isolering AB,5566269832,2,54,nan,nan
Affärsbyggarna i Sverige AB,5568844608,4,50,nan,nan
AFP Elteknik AB,5568058670,3,40,2,2
AFR Entreprenad AB,5567914980,2,49,nan,nan
AG Consulting AB,5590051875,2,51,nan,nan
AG Jompas Glas Aktiebolag,5563995199,2,40,3,2
AG Malmström Rör Aktiebolag,5563481315,4,55,nan,nan
AG Rörteknik AB,5567198428,3,58,nan,nan
AG:s i Norrköping AB,5565922878,5,46,nan,nan
Agekil AB,5567680185,4,45,nan,nan
Agemo Bygg AB,5567448641,2,50,nan,nan
Agén El Aktiebolag,5564090412,4,49,1,0
Agera Funäsdalen AB,5567680409,2,45,nan,nan
Agerblom Entreprenad Peter AB,5566786355,2,50,nan,nan
Agersta Gård Byggnads- och Fastighets             Aktiebolag,5564286192,2,70,nan,nan
AGFS Fastighetsservice AB,5568569262,2,37,1,0
Agge & Oskars Rör AB,5590515465,3,42,nan,nan
Aggetorps Entreprenad AB,5568249329,2,51,nan,nan
Agitar Elservice AB,5567871040,4,44,nan,nan
Agitsa Undertak AB,5567952048,2,42,nan,nan
Agne Eriksson Byggnadsplåtslageri AB,5565623377,2,50,nan,nan
AGO Support i Rickarum AB,5567269492,2,37,nan,nan
AGP Rörservice AB,5568440969,1,48,nan,nan
Agrell & Andra Konstruktion AB,5567687081,3,42,nan,nan
Agria Bygg AB,5567313936,2,51,nan,nan
Agö Måleri AB,5567163067,4,47,nan,nan
AG-EL i Västerås AB,5566825260,2,37,nan,nan
AH Entreprenad i Stockholm Aktiebolag,5590473996,3,54,3,0
AHAB Ställningar & Väderskydd AB,5563944452,4,48,18,8
