company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Pretty Paper AB,5590803366,2,40,Börjesson; Cecilia Elisabeth,3,0,Pretty Paper AB|Pretty Paper|Ernst Henry Photography AB
Byggledning och Bostadslåneberäkning Aktiebolag,5561286831,2,52,Ejbe; Lars Waldemar,4,2,Moveria AB|Byggledning och Bostadslåneberäkning Aktiebolag|Ejbe Innovation AB|Bostadsrättsföreningen Valkyrian 12
FP Montage AB,5569280075,2,52,Eriksson; Peter Mikael,3,4,Drömpool Fastigheter AB|FP Montage AB|Drömpool Entreprenad AB
Stolles Bygg & Entreprenad AB,5569007387,2,50,Johansson; Malin Beata Kristina,1,4,Stolles Bygg & Entreprenad AB
Stolles Bygg & Entreprenad AB,5569007387,2,50,Ståhl; Per Anders Johan,1,2,Stolles Bygg & Entreprenad AB
Täby Entreprenad AB,5568156631,3,55,Mathisen; Björn Erik,4,3,Snabel AB|SUNARU AB|PMS Equity AB|Täby Entreprenad AB
Cevio AB,5569007056,3,34,Åkerlund; Mats Rolf,3,7,Marie Å Finans AB|Bygghem Sverige Fastighets AB|Cevio AB
Lurse Måleri & Webbdesign AB,5569729444,2,66,Jonsson; Göran Evert,1,1,Lurse Måleri & Webbdesign AB
Aland Måleri och Design AB,5590497532,2,44,Aland; Andreas Thomas,1,0,Aland Måleri och Design AB
5land AB,5568544000,2,49,Eriksson; Anna Helena Elisabeth,4,2,SWMS arkitektur AB|MjB CreativeSpace AB|5land AB|Studio5land Aktiebolag
Punkthöjden Fastighetsekonomi AB,5592203920,2,57,Wipp; Peter Mikael,7,23,Byggbranschföreningarna i Sverige AB|Punkthöjden Fastighetsekonomi AB|Greta Bostäder AB|Greta Projekt AB|Punkthöjden AB|Bostfast AB|Greta Skridskon AB
Temer Bygg AB,5568402241,2,31,Rodriguez Torres; Erik Jameson,2,6,Temer Bygg AB|Indano Bygg Entreprenad AB
silver space AB,5569434300,2,48,Maghsoudifard Forssberg; Sara Parisa,1,0,silver space AB
silver space AB,5569434300,2,48,Jowhari Teimouri; Sajjad,1,2,silver space AB
LS Firesafety AB,5568820681,2,65,Sönnergren; Lars Rune,2,1,LS Firesafety AB|Lars Sönnergren
LS Firesafety AB,5568820681,2,65,Sönnergren; Kaisu Heleena,1,0,LS Firesafety AB
Upplands Storbygg AB,5569229544,2,45,Hållbrand; Victor,2,1,Upplands Storbygg AB|Dastar ekonomisk förening
Foboo AB,5591995393,2,25,Bergman; Fabian Alexander,1,0,Foboo AB
Foboo AB,5591995393,2,25,Bergman; Felix Alexander,1,0,Foboo AB
Franq elservice AB,5568036759,2,42,Subasi; Selcuk,1,4,Franq elservice AB
OneOak Holding AB,5590973805,2,33,Arbestål; Jonas Kurt Erik,3,13,OneOak Holding AB|2G Sweden Holding AB|Arbeståls Jord & Jakt Handelsbolag
OneOak Holding AB,5590973805,2,33,Norberg; Nils Gunnar,1,12,OneOak Holding AB
Tommy Lindqvist & Co Projekt AB,5568626021,3,60,Lindkvist; Tommy Allan Sören,1,2,Tommy Lindqvist & Co Projekt AB
Tommy Lindqvist & Co Projekt AB,5568626021,3,60,Fagerberg Lindkvist; Aino Margareta,1,2,Tommy Lindqvist & Co Projekt AB
Jonas Melcherson webb & design AB,5590718754,3,58,Melcherson; Jonas,2,6,Jonas Melcherson webb & design AB|Jonas Melcherson konstnär
David Alton arkitektkontor AB,5590848163,2,41,Alton; Hemming David,3,1,Alton Paulsson Hedman Arkitekter AB|Alton Öhman arkitekter AB|David Alton arkitektkontor AB
TELE & DATA Integration Sweden AB,5567876403,2,63,Almstedt; Rolf Roger,5,4,Main Line Support Kommanditbolag|TELE & DATA Integration Sweden AB|Almis AB|Jakt och retrieverträning i Sorunda kommanditbolag|Svensk Bevakning Sweden Handelsbolag
Alcena Group AB,5569078602,2,51,Kriegh; Christine,1,5,Alcena Group AB
Seppänen Inredningar AB,5564437407,2,57,Seppänen; Jaakko Mikael,1,1,Seppänen Inredningar AB
