company_no,company_name
302363XXXX,KONIECZNY; WOJCIECH
302364XXXX,KREZOLEK; MARCIN OLAF
302371XXXX,JANECZKO; MONIKA MARIA
5020618400,DÄLDEHÖG POLAND SP. Z.O.O.
800817XXXX,R.Ny bygg & entreprenad
5592563935,Skandinaviska Klimatsmarta Hem AB
5590655865,Lily Properties AB
5592597990,LAROS INGARÖ AB
880613XXXX,Habram; Gustaf
840708XXXX,Sevara Bygg
302338XXXX,JASIEWICZ; DANIEL ADAM
302347XXXX,KRAWIEC; STANISLAW
302366XXXX,TOKARZ; MAREK
302370XXXX,APSEGA; ALGIMANTAS
302370XXXX,ANDERSEN; SVEND BÖRJE
302382XXXX,JAKUBOWSKI; ADAM KSAWERY
000821XXXX,Alvo Bygg
302403XXXX,KULETA; LUKASZ MARCIN
771109XXXX,Kvarnlöf; Helén
302365XXXX,MÄRTEN; DANIEL
302369XXXX,URBANSKI; MARCIN ARTUR
302381XXXX,SIWIEC; GRZEGORZ PAWEL
5564709904,Fogdetorps El Aktiebolag
640119XXXX,Helli; Martin
5592277056,Bygg & entreprenadledning i Stockholm AB
940330XXXX,SELLERSTRAND VVS
302371XXXX,ROZMYSLAK; LUKASZ
302345XXXX,KUKYS; MINDAUGAS
302375XXXX,DUDZIC; MARIOLA
830713XXXX,RMS Service Bygg & Måleri
950224XXXX,Nils Tarukoski Design
830312XXXX,STOCKHOLMS SVETS & MONTAGE
5592623788,Rossmann Design AB
680617XXXX,Åhs; Robert
820503XXXX,Corell; Hedvig
5592275191,Linn Rolfsdotter AB
5592294358,Getup escalator and elevator solutions AB
302311XXXX,KOLOWROT; KRZYSZTOF DAMIAN
302365XXXX,SOWA; MAREK WLODZIMIERZ
302378XXXX,TOMCZAK; KRZYSZTOF STANISLAW
530307XXXX,LARS FRANSSONS ENTREPRENAD
880217XXXX,Makodanska; Ewelina Anna
951216XXXX,Aspelin; Tilda
5592575285,Titania Projektutveckling AB
302352XXXX,GOLDER; MARIUSZ GRZEGORZ
302370XXXX,KALINSKI; ANDRZEJ DARIUSZ
302380XXXX,WASYLUK; IWONA BARBARA
302381XXXX,PAPUNEN; PETRI PAAVO
910427XXXX,Juliet Rothman Design
590321XXXX,SUNDBERG; ROBERT
302360XXXX,KLUBA; KRZYSZTOF ZBIGNIEW
302374XXXX,KAJTEK; KARINA IRENA
850915XXXX,Sverigs Färger
670502XXXX,Terreni konsult
302370XXXX,ZAKIEWICZ; RAFAL SEBASTIAN
302377XXXX,DLUBACZ; KRZYSZTOF
302381XXXX,NIELAND; NORMAN
5020619408,MASSIN CO.; LTD.
5592798184,Täby Byggkonsult AB
5592051295,Årsta Markentreprenad AB
302356XXXX,SOBCZYK; MAREK MARIUSZ
302379XXXX,OSINSKI; ANDRZEJ
5164096611,Safida Montage Sp. z o.o Poland filial
302371XXXX,BAGINSKI; ANDRZEJ BOLESLAW
5592154826,Ajkr Studios AB
5592827496,Exakta Entreprenader AB
5591975817,Fredrik Glejpner AB
920215XXXX,Aygün; Munzur
5592651870,MBAL Måleri AB
5592464647,SA Schakt & Dränering AB
5592465602,Rasmo Bygg AB
5592461965,Cream Island Consulting AB
5592241136,KRT Kreativ Rörteknik AB
5591789820,KWK entreprenad AB
302328XXXX,RIGHULT; STIG ALLAN
302360XXXX,BEJMA; MIECZYSLAW MIROSLAW
302381XXXX,KWIATKOWSKI; MARCIN
730822XXXX,Filippidis; Sviatoslav
5592645443,JBSTK AB
680102XXXX,Kamel; Mohammed
5592709223,JM Bemanning AB
302310XXXX,PAZNIOKO IMONE; ALGIRDO
302383XXXX,SROKA; LUCJAN KRZYSZTOF
5568855877,Sportgolvsgruppen Sverige AB
5591365738,J.N. Kraftinstallatörer Aktiebolag
841018XXXX,Biderstrand; Per
302342XXXX,SAUDARGAS; VITALIJUS
302346XXXX,KURASZ; JOZEF
302352XXXX,KOWAL; KAROL KRZYSZTOF
5020687413,STREITBERG OÜ
5020706213,TJ AUTOMATION OY
5592702319,Martin & Micke Maskin AB
302405XXXX,GLOWACKI; RYSZARD
302405XXXX,KORTAS; RYSZARD
880503XXXX,KM Håltagning & Bemanning
302352XXXX,STERNICKI; STEFAN
302352XXXX,RZEPA; JANUSZ ANDRZEJ
302352XXXX,PARTYKA; LESZEK JULIAN
302366XXXX,ROWINSKI; ANDRZEJ
302367XXXX,ZMUDA; KRZYSZTOF
821015XXXX,DL ställningsmontage
630612XXXX,C.I.D Stockholm
5566966254,Smedborn Förvaltning Aktiebolag
660912XXXX,Englund; Christian
891129XXXX,Persson; Kalle
5592100993,Nya Arkitektriket AB
302360XXXX,SALAMON; DARIUSZ BOGDAN
302374XXXX,OLESINSKI; LUKASZ
760722XXXX,RM konsult & projektering
5164117672,PMPS BIRMINGHAM Filial
821118XXXX,Kewe Bygg & Fastighetsservice
970828XXXX,Ahlin Hamberg; Nils Lukas Beppe
840282XXXX,APSEGA; EDGARAS
302311XXXX,KOLUPAILA; ANDRIUS
302311XXXX,KUCHTA; PIOTR
302351XXXX,OSINSKI; PAWEL TOMASZ
302364XXXX,KIERZKOWSKI; MACIEJ ROMAN
302378XXXX,DOROSZ; ZBIGNIEW CZESLAW
302379XXXX,KONSTANTS; ANDRIS
302380XXXX,STELMACH; KRZYSZTOF
5020682216,DUDESING PRESTYNG S.R.L.
900918XXXX,Gerhardsson; Tobias
911127XXXX,Chang; Ting-Hsuan
750723XXXX,Gamarra Wong; Julio
302350XXXX,LECH; MACIEJ JAN
302376XXXX,PAPUGA; ROMAN JAN
302377XXXX,RADOMSKI; PAWEL KAZIMIERZ
302381XXXX,VIDUNA; JOSEF
5560998428,BJ Byggteknik Aktiebolag
840221XXXX,Swe El & allservice
5592566904,Roslagssol AB
302371XXXX,KNIAZ; MARIUSZ
302382XXXX,SZULC; CYPRIAN KAMIL
5592259278,Roger Gidlund KA-tjänst AB
5592817679,Z Asfalt & Mark AB
5020647318,FISCHER TREPPENBAU GMBH
5567058465,V23 Holding AB
900419XXXX,Goodwill Media
561106XXXX,Alans Renovering
9697943547,WSR Fastighetsautomation Handelsbolag
5592612617,NTAL Entreprenad & Miljö AB
750924XXXX,Sandoval Arcos; Paul
5592640105,Elpropp stockholm AB
302311XXXX,GRZENIA; RAFAL LUKASZ
302366XXXX,BOROWIEC; JERZY
302381XXXX,SOCHACKI; PAWEL ANDRZEJ
5020673819,TOM NILSSON CO.; LTD
820926XXXX,Stockholms cyklande rörjour
5592286750,Hawila Holding AB
5592603921,LCC STHLM AB
5590275276,Steninge Slott Fastighet 1 AB
302351XXXX,KUDELSKI; MIROSLAW ANDRZEJ
302352XXXX,PILAT; ADAM JOZEF
302371XXXX,DOROSZ; KRYSTIAN
540820XXXX,Eriksson; Åke
500913XXXX,Kaliff Lindström; Inger Marie-Louise
810204XXXX,Strömberg; Pierre
860802XXXX,Ionita; Ionut-Catalin
302346XXXX,BRYLINSKI; JOZEF
302347XXXX,SOWA; ZBIGNIEW
302349XXXX,MUCHA; ANDRZEJ
302351XXXX,ASZTEMBORSKI; ROBERT
302352XXXX,LEWITZKI; SEBASTIAN
5592477870,Corleone Bygg AB
5592490931,Tak 2.0 AB
750218XXXX,JJPP service och entreprenad
5592464878,Eideal Trä AB
302352XXXX,THOR; PAWEL
5592278989,Beaut-T-Tools AB
761106XXXX,Bergström; Marie-Louise
5592665193,SVEVISOLAR AB
5591881536,Nybygg i Roslagen Fastigheter AB
302328XXXX,KALUZA; RADOSLAW CZESLAW
302360XXXX,SALAMON; MIROSLAW WALDEMAR
302369XXXX,GLAZA; ZDZISLAW HENRYK
302374XXXX,GORALCZYK; SEBASTIAN PAWEL
302376XXXX,JURASZEK; ANDRZEJ
5020623723,HANSA CONSTRUCTIONS OÛ
5562154772,Jan Rafstedt Aktiebolag
700421XXXX,VIDZEM; MARIA
302401XXXX,KULESZA; BEATA
302344XXXX,KWIECINSKI; DARIUSZ ADAM
302344XXXX,MALEWICZ; MIROSLAW
302350XXXX,BARC; GRZEGORZ
441224XXXX,hoj-art
302311XXXX,TISCHNER; MAREK
302340XXXX,BUCZYNSKI; KAZIMIERZ
302357XXXX,TANASACHE; CLAUDIU MIHAI
302370XXXX,DMUKAUSKAS; DALIUS
302379XXXX,SIMON; LADISLAV
5020699525,"UAB ""ARREGA"""
302410XXXX,LAUBERTS; RAIVIS
5592814114,Mihais Måleritjänst AB
302371XXXX,LUPINA; DARIUSZ SYLWESTER
302374XXXX,MATUSKA; ROMAN
5592335375,Iversen Konsult AB
5592480452,JJ Sweleet AB
890201XXXX,Bergh Lopes Da Costa; Isa
781216XXXX,RH Hantverkarservice
302311XXXX,RACZYCKI; RYSZARD
302372XXXX,KRUPA; MAREK
960910XXXX,ORRJE; CLARENCE
5592529340,LEVANS Bygg & Facility Services Sthlm AB
5592538671,Saga Måleri AB
9697937028,Ksn It Service kommanditbolag
721203XXXX,Falk; Mattias
302369XXXX,PIASECZNY; STANISLAW
302378XXXX,PULAPA; HENRYK MARIUSZ
841219XXXX,Kairevicius; Darius
920762XXXX,Mobayen; Sepehr
302178XXXX,DALEK; WIESLAW
302360XXXX,KVARDA; RADOVAN
302371XXXX,FUSIARZ; DAMIAN
302381XXXX,STRYCHOWSKI; MARCIN
5020685029,TRAVETER VARAHOOLDUS OÜ
791110XXXX,Rickberg; Victor
810219XXXX,KELLER; MAGDALENA KAROLINA
5591418461,DVN fastighetsutveckling AB
5591803613,Pallo Bygg AB
302311XXXX,WLODARCZYK; PAWEL JOZEF
302352XXXX,MACHLINSKI; MAREK STANISLAW
302365XXXX,MROZ; MAREK ANDRZEJ
302370XXXX,MARZEC; MIROSLAW
302380XXXX,JEZOVS; JURIJS
5592415847,S Kerstis Konsult AB
5592648397,A Carlén Projektteknik AB
760503XXXX,Stach; Marcin
670711XXXX,Roslagsmaskinisten
302352XXXX,FRANKOWIAK; RYSZARD
302376XXXX,OLCZYK; SEWERYN DANIEL
5560801531,Vallentuna Förvaltnings Aktiebolag
5592746548,3MT VVS & BYGG AB
731115XXXX,Dameron; Fredrik
611210XXXX,BD Kakel Grupp
830618XXXX,Koeman; Linn
302341XXXX,KOLAKOWSKI; WIESLAW
302347XXXX,NIZIOL; DARIUSZ WIKTOR
302349XXXX,NYLEC; TOMASZ WOJCIECH
302350XXXX,WITKOWSKI; JANUSZ MARIUSZ
302354XXXX,KORCZ; HERONIM
302375XXXX,BANACH; RYSZARD MARIAN
302376XXXX,ADAMCZYK; ANDRZEJ WALDEMAR
901120XXXX,Lee Luck; Kiefer
5592362189,Adrian Ebrahimi Projekt AB
600519XXXX,Hortografen
720122XXXX,Stojanovic; Dejan
5592546179,J.Noréns Bygg Service AB
302311XXXX,STEPONAVICIUS; VIRGINIJUS
302330XXXX,SARBINOWSKI; JERZY HENRYK
302344XXXX,WASECKI; WIESLAW
5591745707,Libertas Group AB
950210XXXX,Blomqvist; Lina
5020661533,IRONMADE OY
5592666688,Rönngren & Son Entreprenad Konsulting AB
5592713266,JOCKE ERIKSSON MARK & GRUND AB
5592527997,All ink AB
5592711096,Industri VVS i Sverige AB
5592365018,Spröjs & Tilja i Lindholmen AB
302348XXXX,MERONK; TADEUSZ MACIEJ
302371XXXX,MALEK; WALDEMAR
710721XXXX,WAHLGREN; SVEN JOHAN MAGNUS
9697934264,Antonio Bygg Handelsbolag
5592556681,AXION BYGGSERVICE AB
302368XXXX,ZIELONKA; JERZY PAWEL
302372XXXX,SZENAOR; ARTUR
5568351356,Anders Hedberg AB
302373XXXX,WITKOWSKI; KAZIMIERZ
5592537061,ByggPartner08 AB
5592349681,Courtyard Bygg och Entreprenad AB
691007XXXX,Ohly; Olha
5592731573,Jerker Börjes Bygg AB
791005XXXX,Mariscal; Olga
302356XXXX,WOLSKI; PIOTR JAN
5592363401,Zell el & bygg AB
5020767413,LOUNASKAHVILA MAIVI OY
010828XXXX,Rdngraphics
701208XXXX,Lundberg; Nick
5592618515,Baurex AB
302311XXXX,MAZUR; MARIUSZ STANISLAW
302382XXXX,WOLINSKI; MAREK
5020687538,OSAÜHING GRANDECO GROUP
5592713795,DG Plattsättning & Bygg AB
5561065912,Stuvsta Fastighets Aktiebolag
302351XXXX,STASKOWIAK; SLAWOMIR PIOTR
302359XXXX,BUTA; ADRIAN MARIUS
5592443559,DP PLÅT & BYGG AB
821231XXXX,Malm; Malin Helena Louise
870126XXXX,Jani. H Bygg
302341XXXX,KARWAT; MAREK
302364XXXX,WOJTAS; PIOTR ZBIGNIEW
302369XXXX,TARNOWSKI; JAROSLAW MAREK
5565640140,Mark & schaktservice i Stockholm AB
690402XXXX,Rosander; Ola
302311XXXX,LUKAS; EVALDAS
302340XXXX,SZYDZIK; DAWID
302344XXXX,STANKIEWICZ; MARIUSZ
302365XXXX,BANAT; ANTONI
302374XXXX,KISIELIÜTE; REDA
5562674332,E.H.K.L. Arkitektgrupp Aktiebolag
302365XXXX,MUCHA; MAREK
302383XXXX,WOJCIECHOWSKI; RAFAL
302379XXXX,NEMECEK; PETR
5020817085,SJH OFFSHORE
5020668157,WORLD RECRUITMENT SERVICES
730625XXXX,Grödinge Elteknik
550612XXXX,daram fasad & fönster
302342XXXX,BETKA; KRZYSZTOF
302381XXXX,KOMINEK; ADAM MARIAN
302381XXXX,KRUK; RAFAL ADAM
5592753916,Bimox Byggentreprenad AB
5592604465,Simon Ryhnells Entreprenad AB
302375XXXX,JANASEK; JAROSLAW
791002XXXX,Kadiri Fischer; Biola Morayo
5592646326,Skampini AB
302307XXXX,GORACY; RYSZARD
302328XXXX,WOJCIECHOWSKI; RAFAL
302350XXXX,DOMANSKI; PIOTR JERZY
302356XXXX,JANCZY; STANISLAW
302366XXXX,ORLOWSKI; MAJIEJ EDWARD
302371XXXX,LIPOWSKI; ARKADIUSZ
810411XXXX,Patrik Svensson Bygg & Renovering
302341XXXX,VAITKUS; ARUNAS
302382XXXX,KACZOR; ADAM
302354XXXX,SADLAKOWSKI; ANDRZEJ GRZEGORZ
302365XXXX,KASS; ZENON STANISLAW
302367XXXX,NOWAK; HUBERT
302374XXXX,JURZAK; RAFAL SEBASTIAN
561112XXXX,GUNNARSSON; BERNT GUNNAR
5592449853,Nordens Eltjänst i Stockholm AB
5592707102,Robman AB
302333XXXX,URBANIAK; WIESLAW
302367XXXX,FÜRICH; KAREL
5567035208,Reinova Europe AB
870214XXXX,Sarminey; Majd
5592630221,Dynamic Communication i Brunna AB
302343XXXX,BRZOZOWSKI; ZBIGNIEW
302348XXXX,DABROWSKI; ZBIGNIEW TADEUSZ
302350XXXX,NOWAK; KAROL
302355XXXX,BRACH; WOJCIECH PAWEL
5020645049,OÜ BOMRAT
5592652480,Benjii Måleri AB
5592544505,Passion for Hotels Sweden AB
302342XXXX,SKOTNICKI; STANISLAW
302381XXXX,BULA; ROBERT KRZYSZTOF
5020624150,UAB SENAMIESCIO DIZAINO SALONAS
5592447360,Ec Willman Invest AB
5592440845,Vambrezia Bygg AB
5592586324,Boudeco Styling AB
770224XXXX,HG Bygg & anläggning i Österskär
830406XXXX,Losciale; Julia
302310XXXX,NIEDZWIECKI; JACEK STANISLAW
302311XXXX,JAGODZINSKI; ROMAN
302344XXXX,ZAJAC; PIOTR
302344XXXX,WYSKIEL; ANDRZEJ WALDEMAR
302374XXXX,GORALCZYK; RAFAL DANIEL
302375XXXX,KLIMEK; DARIUSZ WOJCIECH
900713XXXX,S&N Byggställningar
5592556582,MRF byggtjänster AB
920508XXXX,D&P Hem Fixare Bygg
302371XXXX,GERCZAK; STANISLAW
5020702352,"SIA ""BTK BUVE"""
671002XXXX,Holmgren; Anders
5590846506,SH.EL.SA BYGG AB
810208XXXX,Powierza; Krzysztof
5592680861,Söderfalks mark & anläggning AB
5592176969,Jonie Design AB
5592549611,Conny Hansson Måleri AB
490430XXXX,Confetti Byggconsulting Firma
701230XXXX,Fällman; Hans Olof Gabriel
5592789753,BGT&MN AB
302311XXXX,KARBOWIAK; WALDEMAR JAN
5563610707,Glasberga Fastighetsaktiebolag
611201XXXX,Mohamad; Nabil Reda
