company_no,company_name
5590356050,Dynasafe Demil Systems AB
5560271065,Radiator VVS Aktiebolag
5565548426,Tommy Allström Byggproduktion AB
5567622989,ByggTemagruppen Förvaltning AB
5565688560,ByggTema i Örebro Aktiebolag
5568635303,OBK Sverige AB
5563563880,Drillcon Aktiebolag
5566925557,NA Bygg Aktiebolag
5561753178,Moelven Modus AB
5561243238,Bröd. Engströms Entreprenadmaskiner Aktiebolag
5560968108,T-Schakt Aktiebolag
5569802084,VentPartner Sverige AB
5565364469,Asplunds Bygg i Örebro AB
5567397376,Lindesberg's Bygg AB
5562042555,Myrina Invest Aktiebolag
5566873963,TRANAB Markbyggnad Aktiebolag
5565546156,Puts & Tegel i Örebro AB
5562739762,Harrysson Entreprenad Aktiebolag (HEAB)
5560906272,Drillcon Scandinavia Aktiebolag
5566599428,Plåtpartnergruppen Sverige AB
5561910554,Edekyl & Värme AB
5565117891,Exact Svenska Mätcenter AB
5569030959,Boman & Svahn Bygg & Entreprenad AB
5566072277,Chematur Technologies AB
5567006266,Brogrund Mark AB
5569781684,Fastighetsbolaget Industritornet i Örebro AB
5568951148,Vossloh Rail Services Scandinavia AB
5565207478,EKC Sverige AB
5568845886,ByggTitanerna AB
5568973993,Essaglas & Aluminium AB
5590205869,Infracon Sverige AB
5563367266,Widén & Erikson Byggnads Aktiebolag
5569088783,VentPartner i Närke AB
5561766725,Lindesbergs Grus och Maskin Aktiebolag
5564142932,Adriansson Schakt och Transport Aktiebolag
5567518609,Maxcon AB
5563552735,BS Åkeri Bengt Strömvall Aktiebolag
5567273882,Byggprojekt Olsson & Ström AB
5563649051,Bengt & Mats Byggmontage Aktiebolag
5562865229,B Krafft Måleri Aktiebolag
5566268594,Örebro Byggservice Forsberg AB
5565104337,Erikssons Bygg i Mellansverige AB
5565296430,J Anderbert Bygg AB
5568097397,BEST Entreprenad i Örebro AB
5563613586,El-Profilen i Örebro Aktiebolag
5561368407,Roland Hallafors Åkeri o. Schakt Aktiebolag
5566920178,Profire Sprinkler AB
5564593431,Essen Rör Aktiebolag
5566632856,Orren Entreprenad Aktiebolag
5591828628,Roommejts AB
5566059910,Karlskoga Bygg- och Anläggnings AB
5566899984,Karlskoga Snickeri & Montage AB
5566440565,Tobbes Schakt AB
5567325005,Nora Entreprenad AB
5563951366,Aktiebolaget Lillåns Bleck och Plåt
5565859021,Sandå Örebro AB
5564919776,H. Einarsson Byggnads Aktiebolag
5569865214,Loxia Projektledning AB
5565956942,Lindesbergs VVS AB
5563020733,Anders Schakt i Vintrosa Aktiebolag
5564950557,Kumla Tak Aktiebolag
5563312338,Kumla Fasadteam Aktiebolag
5564065133,ÅV-BYGG I ÅSBRO Aktiebolag
5590324207,Örebro Byggnadsplåtslageri AB
5566257175,Peter Töndel Markbyggarna AB
5563583722,GL:s Maskinmontage AB
5562121383,VAP VA-Projekt Aktiebolag
5567676878,JS Bygg & Fastigheter AB
5565037412,Bäckmans Rör i Karlskoga Aktiebolag
5561962308,El & PC-Installationer i Örebro Aktiebolag
5568727555,Byggnor Närke AB
5567454789,Mörkvikens Byggservice AB
5565514881,Mellansvenska Fasad; Lars Svensson AB
5565522769,Luftkontroll Energy i Örebro AB
5569123242,Drillcon Drilling Equipment AB
5564035557,Örebro Parkett och Golv Aktiebolag
5568822828,KMAB Karlskoga Mark AB
5565455655,Rolf Lindström Undertak AB
