company_no,company_name
5569575862,B.R.S. Väst AB
681105XXXX,Hellström; Henrik
5592753593,PMB Kungälv AB
5592477680,Hertz Måleri AB
5592103849,D2 Bygg AB
5592333651,Pielström Bygg AB
5592483373,Bsgr Projektutveckling AB
5592485063,Modulhus Montage i Sverige AB
561121XXXX,Brümmer; Helga
681022XXXX,Amnell; Per
700823XXXX,Mats golvtjänst
481102XXXX,Odegren Carlsson; Lisbeth Ing-Marie
5592726847,MILTON ENTREPRENAD AB
641016XXXX,Raslan; Hasan
810604XXXX,Nordinterior studio
630508XXXX,FLURIMS BYGG & KAKEL
780481XXXX,Lupa; Wojciech Pawel
651031XXXX,Ödegårdens familjevård
5592623465,BEE-CONNECTED AB
710408XXXX,Ossiansson; Bruno
5592754575,Sineus Bygg och Renovering AB
5592580558,SwimLAB Sweden AB
660830XXXX,Bergstedt; Jonas
5591643563,Svanvik Strand AB
960407XXXX,Lemonbat Art & Design
811208XXXX,ERIKSSON; CARL-GUNNAR PETER
5592288574,Lewén Kakel AB
930825XXXX,Hellström; Lisa
961026XXXX,Viktor Sjölund Design
910928XXXX,Svedäng; Jonas
930611XXXX,Jussila Golv
5592668353,REDA Rosenberg AB
680316XXXX,PAKULSKI; ARKADIUSZ
681013XXXX,Remes; Jarmo
5592561699,Tischler Byggservice AB
751225XXXX,Eliasson; Michael
781031XXXX,Gunaeus; Peter
5592184765,SIPA NORDICA AB
7696095830,Ekoberget ekonomisk förening
5591374276,Lysa Elektriska AB
5592088875,edge electric AB
7696363055,Bostadsrättsföreningen BonTop i Mölnlycke
5592332836,Slutplattan FASVI 108934 AB
5560453127,Öhrn i Fristad AB
630626XXXX,Linder; Ulf
880829XXXX,Helgesson; Ted
830707XXXX,Pietruszka; Marcin
770115XXXX,Lagergréen Västlund; Maria
5592742760,Iwe elteknik AB
5592753429,MM-Växlaren AB
740327XXXX,JOHANSSON; CURT HARRY TOBIAS
5592789324,Linnarc AB
950610XXXX,Nilsson; Kasper
671171XXXX,CANTARAGIU; CONSTANTIN
760929XXXX,Krona; Johan
660608XXXX,Artboostify
680628XXXX,Walisons Fix & Kakel
870505XXXX,AK Service
890811XXXX,MCC Måleri
5592551104,Boxande Björnen AB
9168396837,ÅRYB HANDELSBOLAG
5566099775,Förvaltnings AB Stenlyckan
5592612682,DS Mureri AB
630709XXXX,Bytesexperten
690217XXXX,Antighechi; Reza
5592619984,Trestad Byggkonsult AB
5569735706,RDZE Byggnadsentreprenad AB
840104XXXX,Vainio; Stefan
5590412341,Torins Invest AB
691218XXXX,Hansson; Jonas
660628XXXX,Svantesson; Charlie
860630XXXX,Biel; Slawomir
740603XXXX,Högalid Kakel & Bygg
790704XXXX,Dwalibi; Johannes
420111XXXX,ENGSTRÖM; MAJ-BRITT
5562748201,Tjörnbrons Bygg o Fastighetsförvaltning           Aktiebolag
820313XXXX,Bjelle; Malin
5592786619,Fastium bygg och fastighetsservice AB
5592673973,Thorssons El AB
5566213087,AB Sjuskrapan Holding
690128XXXX,KLV Plattsättning
5592476203,Elteknik i Kungälv AB
5592621410,Brännekullen Bygg AB
5592674914,Expressglas Göteborg AB
560924XXXX,Johansson; Bernt Allan Stefan
580103XXXX,Kollberg; Ingemar
5592546815,Seniorkraftiskaraborg AB
570221XXXX,berners allservice
780101XXXX,SH Bygga snygga badrum & kök
790705XXXX,MOE; JESPER
700730XXXX,Trollvibygg
921114XXXX,Eriksson; Per
