company_no,company_name
5567109243,ByggPartner i Dalarna Holding AB (publ)
5565319984,Bygg Partner i Dalarna Aktiebolag
5564830957,HMB Construction AB
5565195723,Mockfjärds Fönster AB
5567771901,Erlandsson Bygg i Dalarna AB
5564740164,Österling Bygg Aktiebolag
5562365568,Byggnadsingenjör Nils Skoglund Aktiebolag
5567755938,Scanmast AB
5567759138,ByggPartner i Dalarna Service AB
5566389929,DALAB Sverige AB
5567395529,Svenska Tungdykargruppen AB
5566604509,Byggarna i Falun Mikael Lusth AB
5562896943,Aktiebolaget Grytnäs Gräv
5563449437,AEB Anläggningsentreprenader AB
5563817088,Grytnäs Projekt AB
5566383682,RPS Partners AB
5564444031,Siljan Schakt Entreprenad Aktiebolag
5568646284,Vatten & Avfall i Malung-Sälen AB
5563955847,PaCoRa Bygg AB
5565046876,Selek Elentreprenad AB
5563797983,AB Byggprojekt i Dalarna
5590386578,Dala Bygg & Betongteknik AB
5562920248,D & B Bygg Aktiebolag
5564379930,Erikssons Plåt & Kopparslageri AB
5564705340,Dala Byggsamverkan Aktiebolag
5566230974,ByggTjänst i Falun AB
5562140656,Bröderna Svenssons Byggnads Aktiebolag
5566138292,Dalkarlarna i Ornäs AB
5590011606,Soil Mixing Group AB
5566280623,Tunabygdens VVS-Installatör AB
5568401425,Mora Bygg AB
5569038820,Uppdragspartner i Mälardalen AB
5565975876,Miljönären Måleri AB
5568803216,MyVi AB
5568582026,Dala Rail&Snow AB
5565279626,Hedemora Kraft och Värme AB
5565747952,Elektrikerna i Falun AB
5567976252,Scandinavian Roadconstruction AB
5563591758,Rönnberg & Mattsson Bygg Aktiebolag
5566053889,Ludvika Lastbilcentral AB
5563081057,DalaFrakt Entreprenad AB
5567075543,Signalbolaget i Sverige AB
5565716510,Avesta Park & Trädgårdsservice Aktiebolag
5560598855,Henningssons Elektriska Aktiebolag
5562234566,Smedjebacken Energi AB
5566231725,Byggtrio i Borlänge AB
5565166443,Elbolaget i Ludvika Montage AB
5591023410,Sundahem Sverige AB
5590523576,Rallarsving AB
5591166060,Rustabo Sverige AB
5562764984,GrävKåhlén Aktiebolag
5568143415,Swe Dala Tak AB
5564533973,Dalakranar AB
5566992706,Nordsign Aktiebolag
5566230982,Nyman Jansson Bygg AB
5567208326,EdGyr AB
5565185823,Installationsgruppen i Malung AB
5563207546,Dalarnas Infraentreprenad AB
5566956768,AB VikaVimo Entreprenad
5561140202,Lunds Schakt & Planering i Borlänge Aktiebolag
5569436057,SRR INFRATEKNIK AB
5563121861,Emretsson Entreprenad AB
5564358207,JUF Byggnadsställningar Aktiebolag
5562206572,Aktiebolag Mora Byggservice
5567572069,Contub AB
5563081941,Munters Bygg Aktiebolag
5565365110,BBM i Dalarna AB
5561883371,Miljönären Golv AB
5565027454,Markgruppen i Dalarna Aktiebolag
5566351051,Helob Bygg AB
5560644741,Näséns Byggnadsaktiebolag
5561797001,HIAK AB
5565415576,Dala Kylmecano Aktiebolag
5591563530,Norrdala Bygg AB
5566566187,Pappelina AB
5563882470,Göthes Säkerhet Aktiebolag
5563759710,Klas Johansson Byggservice Aktiebolag
5565001798,Eklunds Mora AB
5563778074,Bröderna Thunströms Måleri Aktiebolag
5566728589,ScandRail Sweden AB
5565755690,Norbergs Bygg & Inredning AB
5568700677,Falu Kyla AB
5568915945,TOTUM Facilities AB
5561831719,Ludvika El-Installation Aktiebolag
5591124903,Dalarnas Takmontage AB
5566950266,Daniel Hag Bygg AB
5564635968,Bergslagskyl i Dalarna Aktiebolag
5565836631,PeMi Ventilation & Montage AB
5567941504,Lissel & Anderssons Bygg AB
5567145817,Svensk MiljöByggnation AB
5567920441,Leksand-Gagnef-Insjön L.G.I VVS AB
641211XXXX,Fa Kjell Halvarsson
5591920920,T&B Broproduktion AB
5568179658,AM-Berglund AB
5565211678,R Eks Plåt & Vent. Service Aktiebolag
5566590005,VOID AB
5566151329,Falu Akustik AB
5567986152,Henrik L. Gräv & Entreprenad AB
5591649388,Gräv&Schakt Sven-Erik Eriksson AB
5567086094,Tak & Bygg i Falun AB
5563342491,Morneon Bygg Aktiebolag
5591792063,CM Nilsson Bygg AB
5568747405,Tuna Fiberteknik AB
5566548698,Structor Projektledning Dalarna AB
5561121582,Engstedt Rör Aktiebolag
5560445222,Vattenhuset i Borlänge AB
5562152990,Bröderna Rosells Plåtslageri Aktiebolag
5569244451,Södra Dalarnas Mark & Bygg AB
5562122910,Ingemar Erikssons Rörledningsfirma Aktiebolag
5569087900,Morkarlby Elektromekaniska Aktiebolag
5560545500,Vansbro Elektriska Installations Aktiebolag
5591390967,Swe Dala Tak Försäljning AB
5562472976,Hedemora Mark AB
5561257923,E. Thenanders Rör Aktiebolag
5566959648,Brossen AB
5590659875,Bergslagens Spårservice AB
5564495033,Älvdalsfrakt AB
5565880076,Fredins Takentreprenad AB
5590141007,Golvkompetens Norden AB
