company_no,company_name
5567179444,IP-Only Produktion AB
5560519232,Sh bygg; sten och anläggning AB
5567569792,Nordex Sverige AB
5564472917,Bynet AB
5564931318,Byggconstruct Uppsala AB
5560712167,Sallén Elektriska Aktiebolag
5566722145,Sallén Förvaltning AB
5563755478,Bjerking AB
5563117588,GK Rör AB
7176007990,Upplands Schakt Ek.Förening
5567920516,VBE Byggproduktion AB
5563753903,Håkan Zillén Bygg Aktiebolag
5567466122,Upplands Projektbygg AB
5564833654,Markona AB
5562155043,P o B:s Elektriska Aktiebolag
5569218471,G Construct AB
5564422250,Ingemar Rääf Bygg Aktiebolag
5567915573,EAAB; Ekman & Angerstig AB
5560570003,Porta Rossa Aktiebolag
5565519096,Last & Planering Rail LPR AB
5565490876,K360 Nordic AB
5566571369,Ki-Panel AB
5590436118,Vesivek Sverige AB
5565534830,PQR International AB
5560764416,JÖTA EL AB
5566438494,Elvbygg Aktiebolag
5567066187,S46 Mark & Väg AB
5564637998,Hallbloms Markentreprenader Aktiebolag
5563963312,Trädgårdsanläggare Hallblom Aktiebolag
5565990248,Mälardalens Mur och Puts AB
5568645195,OTK Klimat Installationer AB
5564473386,Årsta Tak AB
5564098613,Fresh Air Ventilation i Uppsala Aktiebolag
5567443337,BWN Bygg AB
5561610329,AB Lindborg & Söner
5563991925,Upplands Företagsservice AB
5565491205,Börje Holmgrens Åkeri AB
5564590379,Hansson & Ekman Isolerings Aktiebolag
5567594451,FAM SUNDGREN BYGG AB
5568129158,ABAB Sverige AB
5568794936,Foundation Drilling Sweden AB
5563795763,M2 Ytskikt AB
5590127212,Umia Öst AB
5566521786,Thomas & Kenth Bygg i Tierp AB
5565070165,Öregrund Bygg AB
5565304705,Tobias & Kents Golv AB
5565486411,Industri och Värmemontage Werme AB
5563733079,Transschakt i Uppsala AB
5566559794,Skuttunge Mark & Bygg Aktiebolag
5566232772,Galore i Uppsala Aktiebolag
5565669487,Sandå Uppsala AB
5566571948,TB-GRUPPEN Bostad AB
5562597681,Mariebergs Brasvärme AB
5564926102,BBM i Uppsala Aktiebolag
5568080385,MTB Mark & Trädgårdsbyggarna AB
5569650269,Sh Asfalt AB
5566249867,Binab Entreprenad AB
5566107362,Metod Arkitekter i Uppsala AB
5563091312,Skölsta Mark- och Rivningsentreprenader           Aktiebolag
5567444178,BMM i Tierp AB
5567864102,Thorszelius Ventilation & Service AB
5565820080,Markentreprenad i Uppsala AB
5569052086,Team ByggInrede i Uppsala AB
5569612236,Uppsala Betonghål AB
5562688530,Upsala Plåtslageri AB
5567983639,Taksäkerhetsmontörerna i Mälardalen AB
5564289691,Scandrock AB
5560660630,Söderlunds Röraktiebolag
5565640264,Målerifirma Alfred Holm Aktiebolag
5590793351,Markconstruct i Uppsala AB
5565003760,Plåtkompaniet Norling AB
5568050222,RENDO Bygg AB
5569868085,Walloxstrand AB
5566326566,Rosendals Bygg AB
5562714872,REAB; Ralf Eriksson Entreprenad Aktiebolag
5567581896,Teampipe Sweden AB
5568223027,Grillby & F100 Rör AB
5565597407,VVS Montage i Bålsta AB
5564529963,ENAFOKIAKTIEBOLAG
5562613819,AB KJ Väg & Anläggning
5566718531,Lås och Säkerhetscenter i Uppsala AB
5568047632,J. Östling & C. Sparf El AB
5566625843,Jacobssons Gräv i Enköping AB
5568214703,ELAK AB
5565053401,Villabyggen Eriksson i Uppsala Aktiebolag
5567700512,VATECH i Östhammar AB
5567394415,Kolarviks Sten & Trädgård AB
5562834589,Glasklart Service AB
5567690176,Structor Uppsala AB
5566468921,Åkerlinds Plåt AB
5568681927,JT Schakt AB
5566750773,AK Riv & Sanering Aktiebolag
5590252887,Schaktbolaget i Örsundsbro AB
5568868979,JMG Betong AB
5566360235,Allehanda Glas i Uppsala AB
5569836850,Infrateam Sverige AB
5590165626,Upplands fiberinstallationer AB
5563602241,Lundqvist El i Uppsala AB
5560793084,ÅC Bygg AB
5568121486,Maicon Infrakraft AB
5569364135,Vent Tech Uppsala AB
5569994105,Bergqvist&Son Schakt AB
5568457344,Bygg-Sven i Östervåla AB
5565404760,Engbergs Måleri i Uppsala AB
5568443047,Stefan Kits Contractor AB
5568277452,Ytterbom El; Bygg och Måleri AB
5569040420,Golvlandslaget AB
5566247952,BT Ventilation AB
5567884811,JMA Entreprenad AB
5567435382,Smedborn Byggservice AB
5564531928,Arlanda Måleri Aktiebolag
5566991070,Magenta Måleri AB
5567707194,Lindekrans Plåtslageri AB
5568292089,KTEC AB
5566940234,Vaksala Måleri AB
5564833068,Fullerö Ekonomi & Förvaltning AB
5569950941,MTPEK Bygg & Våtrum AB
5567339535,746 Entreprenad Bygg - El Aktiebolag
5569187064,UVAB Entreprenad AB
5567008197,Anders Produktion AB
5567172290,Sunnersta Bygg AB
5568036148,Aros Akustik AB
