company,id,status,actual_status,remark,default_date
Tysklinds i Stockholm Aktiebolag,5563202794,aktivt,aktivt,,
TR-Support AB,5568477201,aktivt,aktivt,,
Montagekonsult Produktions Aktiebolag,5567446959,aktivt,aktivt,,
Thessén & Ek byggentreprenad AB,5568181092,aktivt,aktivt,,
JD-GRUPPEN Aktiebolag,5562225283,aktivt,aktivt,,
kod arkitekter AB,5566355839,aktivt,aktivt,,
Aktiv Service Markarbeten Stockholm AB,5563669513,aktivt,aktivt,,
Toppboende i Stockholm AB,5569638967,aktivt,aktivt,,
Byggstyrning i Mälardalen AB,5565841771,aktivt,aktivt,,
Takrenoverarna i Stockholm AB,5567967558,aktivt,aktivt,,
Roslagslänna Markentreprenad AB,5567712202,aktivt,aktivt,,
NP Bygg i Stockholm AB,5567413371,aktivt,aktivt,,
Plan 57 Projekt AB,5590724836,aktivt,aktivt,,
Pampas Marinentreprenad AB,5590907563,aktivt,aktivt,,
Unges Byggservice AB,5568459688,aktivt,aktivt,,
Hewima Bygg AB,5590475835,inaktivt,Registrerad,Konkurs inledd,2020-09-01
Premea AB,5567936041,aktivt,aktivt,,
Krypton Bygg Stockholm AB,5568075153,aktivt,aktivt,,
Grund & Stombyggnad i Stockholm AB,5567043442,aktivt,aktivt,,
DSD Group AB,5568414253,aktivt,aktivt,,
BLP entreprenad AB,5562246412,aktivt,aktivt,,
RTcon AB,5568836091,aktivt,aktivt,,
Uno Larsson och Son Plattsättning Aktiebolag,5564316353,aktivt,aktivt,,
U.D. Urban Design AB,5566038948,aktivt,aktivt,,
OBM Fuktteknik AB,5565317996,aktivt,aktivt,,
Holstein Bygg AB,5567636161,inaktivt,Registrerad,Konkurs inledd,2017-12-12
Sjöberg & Therme AB,5568283906,inaktivt,Registrerad,Konkurs inledd,2019-10-29
Jikson Solutions AB,5567696330,aktivt,aktivt,,
Lövholmens Bygg & Transport AB,5563835205,aktivt,aktivt,,
Vasa Vind AB,5567026835,aktivt,aktivt,,
Storstaden Bostad Nacka AB,5591107296,aktivt,aktivt,,
Näsman; Sjöstrand & Roos Entreprenad AB,5591160121,aktivt,aktivt,,
Hammersta Fastigheter AB,5564937737,aktivt,aktivt,,
Revente Bygg & Målning AB,5567822548,aktivt,aktivt,,
Browax AB,5567112767,aktivt,aktivt,,
Grenhagen & Palnér Bygg Aktiebolag,5563107258,aktivt,aktivt,,
RO Projektbygg AB,5565843157,aktivt,aktivt,,
N&T Fastighetsservice AB,5569381808,aktivt,aktivt,,
ÜBER NORDIC AB,5568217052,aktivt,aktivt,,
BFB Gruppen AB,5567577829,aktivt,aktivt,,
Dal-Flytström Byggnads AB,5565137790,aktivt,aktivt,,
Edelkrantz Bygg & Plattsättning AB,5590170303,aktivt,aktivt,,
Stockholm Betongkonsult AB,5567611230,aktivt,aktivt,,
Nord Skate & Entreprenad AB,5567639611,aktivt,aktivt,,
GROS TRADING AB,5567937890,aktivt,aktivt,,
Wermelns Byggkonsult AB,5564258613,aktivt,aktivt,,
Servicesidan AB,5569190936,aktivt,aktivt,,
AIB Stockholm AB,5566384870,inaktivt,Registrerad,Konkurs inledd,2019-05-24
Aktiebolaget C.R. Malms Trädgårdsanläggningar,5560830381,aktivt,aktivt,,
Energi Förädling Europe AB,5590225941,aktivt,aktivt,,
Installation & Miljö i Stockholm AB,5567475933,aktivt,aktivt,,
Teknik Isolering i Stockholm AB,5566397559,aktivt,aktivt,,
Aquabygg AB,5567377204,aktivt,aktivt,,
Elithus i Stockholm AB,5567107106,aktivt,aktivt,,
V/I Larmmontage AB,5568960321,aktivt,aktivt,,
Wicabygg&Entreprenad AB,5590225149,aktivt,aktivt,,
Huddinge Maskinservice AB,5568116346,aktivt,aktivt,,
Creonovus AB,5565944815,aktivt,aktivt,,
Clase Bygg AB,5567837603,aktivt,aktivt,,
Lås-Arne Malmström Aktiebolag,5562745470,aktivt,aktivt,,
Pionjärgruppen Entreprenad AB,5590947965,aktivt,aktivt,,
AB Svedlunds Byggteknik,5568377641,aktivt,aktivt,,
PG Hiss & Fastighet Stockholm AB,5568155633,aktivt,aktivt,,
DXT Entreprenad AB,5590591045,aktivt,aktivt,,
Constella Bygg AB,5566738554,aktivt,aktivt,,
MANDAWORKS Aktiebolag,5568023922,aktivt,aktivt,,
Vårby Schakt och Transport Aktiebolag,5564618352,aktivt,aktivt,,
Copilot Bygg & Fastighet AB,5590901913,aktivt,aktivt,,
Märsta Plåt & Bygg AB,5567689574,aktivt,aktivt,,
JB Järfälla AB,5569636516,inaktivt,Registrerad,Konkurs inledd,2020-11-25
IKK Montage AB,5590349972,aktivt,aktivt,,
Gerts Lås & Larm Aktiebolag,5560678574,aktivt,aktivt,,
Sommar Byggbesiktningar AB,5566436266,aktivt,aktivt,,
Max Robin Rörservice Aktiebolag,5590257910,aktivt,aktivt,,
Svensk styrteknik AB,5566560321,aktivt,aktivt,,
Skonborg Consulting AB,5568800360,aktivt,aktivt,,
Vortek Group AB,5590667886,inaktivt,inaktivt,Konkurs avslutad,2020-12-02
Nacka Värmdö Entreprenad AB,5569851750,aktivt,aktivt,,
Stockholm Relining AB,5567792691,aktivt,aktivt,,
Andreas Martin-Löf Arkitekter AB,5567557714,aktivt,aktivt,,
Rickard Kron Bygg och Fastighetsservice AB,5566778048,aktivt,aktivt,,
HGC Bygg AB,5565962668,aktivt,aktivt,,
Kornets Akustik Aktiebolag,5562733914,aktivt,aktivt,,
Nyström&Co projektbyrå; NoC AB,5568560956,aktivt,aktivt,,
Nivå landskapsarkitektur AB,5565845145,aktivt,aktivt,,
SJG Bygg AB,5563675486,aktivt,aktivt,,
Säkerhetsgruppen i Södertälje AB,5565676391,aktivt,aktivt,,
Office Karolina Keyzer AB,5590485974,aktivt,aktivt,,
Svärd & Uvmåne Målerifirma AB,5568706138,aktivt,aktivt,,
Hantverkshuset Östermalm Aktiebolag,5563471308,aktivt,aktivt,,
Kattfoten Bygg i Stockholm AB,5568561145,aktivt,aktivt,,
ERNet AB,5567851984,aktivt,aktivt,,
Hanvikens Elektriska AB,5565345443,aktivt,aktivt,,
Lysande Lösningar Stockholm AB,5568207640,aktivt,aktivt,,
SBS i Stockholm AB,5568512387,aktivt,aktivt,,
