company,id,status,actual_status,remark,default_date
ByggEtt Vellinge AB,5568469133,aktivt,aktivt,,
R Svensson Larm & Data AB,5567509863,aktivt,aktivt,,
Pramwall & Johansson Bygg AB,5569691446,aktivt,aktivt,,
DCRC EL AB,5568779788,aktivt,aktivt,,
Södra Solmontage AB,5591979546,aktivt,aktivt,,
Helsingborgs Elektriska AB,5568553498,aktivt,aktivt,,
Peab Industri AB,5565949558,aktivt,aktivt,,
Leufstedts Entreprenad AB,5562189737,aktivt,aktivt,,
DC bygg & bemanning AB,5590627088,aktivt,aktivt,,
Kyl & Värmepumpservice i Höganäs AB,5568981087,aktivt,aktivt,,
Bunkeflo VVS Service AB,5590278411,aktivt,aktivt,,
JPJ VVS & BYGG i SVERIGE AB,5564348869,inaktivt,inaktivt,Konkurs avslutad,2020-12-17
3 Plåt AB,5562855576,aktivt,aktivt,,
Magnus Doreste Elservice AB,5568477334,aktivt,aktivt,,
Västra Hamnens Bygg Aktiebolag,5564820826,aktivt,aktivt,,
Mur & Brasvärme Öresund AB,5567438998,aktivt,aktivt,,
ER Elitekakel AB,5590201645,aktivt,aktivt,,
Concreatures AB,5568238389,aktivt,aktivt,,
SYD ARK KonstruerA Aktiebolag,5566718614,aktivt,aktivt,,
Lindgrens Tele o AV System AB,5567715312,aktivt,aktivt,,
Rubin Golv AB,5567297287,aktivt,aktivt,,
IRRC AB,5591010193,aktivt,aktivt,,
Snickaren på Limhamn AB,5591333538,aktivt,aktivt,,
BeGe Måns Bygg & Anläggning AB,5569292922,aktivt,aktivt,,
Sätofta Entreprenad AB,5567755805,aktivt,aktivt,,
Bertil Kronkvist Gräv Aktiebolag,5564250784,aktivt,aktivt,,
New Presence AB,5591728687,aktivt,aktivt,,
P Edvinsson Bygg AB,5591598825,aktivt,aktivt,,
Höganäs Platt & Mur AB,5568896822,aktivt,aktivt,,
LEUFSTEDT MARKSERVICE ÖSTERLEN AB,5568807365,aktivt,aktivt,,
Öretek AB,5569712317,aktivt,aktivt,,
Snickare Andersson & Co i Skåne AB,5565440467,aktivt,aktivt,,
G-reen L Entreprenad AB,5591972368,aktivt,aktivt,,
Magnus Emil AB,5591692529,aktivt,aktivt,,
Becks N.V Skånes Byggnads AB,5591527402,aktivt,aktivt,,
Primo Golv Aktiebolag,5562720341,aktivt,aktivt,,
Skånes Fastighetsunderhåll AB,5568313398,aktivt,aktivt,,
Janstorp Egendom AB,5563511269,aktivt,aktivt,,
GORA art&landscape AB,5564408499,aktivt,aktivt,,
Lyby EL AB,5568834849,aktivt,aktivt,,
Elkraft i Stehag Aktiebolag,5563226587,aktivt,aktivt,,
Byggidé i Malmö AB,5569915191,aktivt,aktivt,,
Jonas Nordqvist Consulting AB,5591199616,aktivt,aktivt,,
Kvarnviks Bygg Montage AB,5590218359,aktivt,aktivt,,
Entrepreneur Mäster Johan AB,5590122296,aktivt,aktivt,,
GMP i Malmö AB,5591340459,aktivt,aktivt,,
Elektriska Aktiebolaget All-Ström,5560630732,aktivt,aktivt,,
Parkettfixaren i Skåne AB,5591407431,aktivt,aktivt,,
Franssons Elektriska AB,5590928163,aktivt,aktivt,,
JOMI Måleritjänst i Trelleborg AB,5591960744,aktivt,aktivt,,
Gas och Oljeeldningstjänst i skåne AB,5567877591,aktivt,aktivt,,
Byggpågarna i Häljarp AB,5568749542,aktivt,aktivt,,
SK-Hus i Osby AB,5567718738,aktivt,aktivt,,
Byggsupport Syd Aktiebolag,5590069216,aktivt,aktivt,,
B.G.Anderssons Bygg & Reparations Aktiebolag,5564529336,aktivt,aktivt,,
