company,id,status,actual_status,remark,default_date
DÄLDEHÖG POLAND SP. Z.O.O.,5020618400,aktivt,aktivt,,
Skandinaviska Klimatsmarta Hem AB,5592563935,aktivt,aktivt,,
Lily Properties AB,5590655865,aktivt,aktivt,,
LAROS INGARÖ AB,5592597990,aktivt,aktivt,,
Fogdetorps El Aktiebolag,5564709904,aktivt,Registrerad,,
Bygg & entreprenadledning i Stockholm AB,5592277056,aktivt,aktivt,,
Rossmann Design AB,5592623788,aktivt,aktivt,,
Linn Rolfsdotter AB,5592275191,aktivt,aktivt,,
Getup escalator and elevator solutions AB,5592294358,aktivt,aktivt,,
Titania Projektutveckling AB,5592575285,aktivt,aktivt,,
MASSIN CO.; LTD.,5020619408,aktivt,aktivt,,
Täby Byggkonsult AB,5592798184,aktivt,aktivt,,
Årsta Markentreprenad AB,5592051295,aktivt,aktivt,,
Safida Montage Sp. z o.o Poland filial,5164096611,aktivt,aktivt,,
Ajkr Studios AB,5592154826,aktivt,aktivt,,
Exakta Entreprenader AB,5592827496,aktivt,aktivt,,
Fredrik Glejpner AB,5591975817,aktivt,aktivt,,
MBAL Måleri AB,5592651870,aktivt,aktivt,,
SA Schakt & Dränering AB,5592464647,aktivt,aktivt,,
Rasmo Bygg AB,5592465602,aktivt,aktivt,,
Cream Island Consulting AB,5592461965,aktivt,aktivt,,
KRT Kreativ Rörteknik AB,5592241136,aktivt,aktivt,,
KWK entreprenad AB,5591789820,aktivt,aktivt,,
JBSTK AB,5592645443,aktivt,aktivt,,
JM Bemanning AB,5592709223,aktivt,aktivt,,
Sportgolvsgruppen Sverige AB,5568855877,aktivt,aktivt,,
J.N. Kraftinstallatörer Aktiebolag,5591365738,aktivt,aktivt,,
STREITBERG OÜ,5020687413,aktivt,aktivt,,
TJ AUTOMATION OY,5020706213,aktivt,aktivt,,
Martin & Micke Maskin AB,5592702319,aktivt,aktivt,,
Smedborn Förvaltning Aktiebolag,5566966254,aktivt,aktivt,,
Nya Arkitektriket AB,5592100993,aktivt,aktivt,,
PMPS BIRMINGHAM Filial,5164117672,aktivt,aktivt,,
DUDESING PRESTYNG S.R.L.,5020682216,aktivt,aktivt,,
BJ Byggteknik Aktiebolag,5560998428,aktivt,Registrerad,,
Roslagssol AB,5592566904,aktivt,aktivt,,
Roger Gidlund KA-tjänst AB,5592259278,aktivt,aktivt,,
Z Asfalt & Mark AB,5592817679,aktivt,aktivt,,
FISCHER TREPPENBAU GMBH,5020647318,aktivt,aktivt,,
V23 Holding AB,5567058465,aktivt,aktivt,,
WSR Fastighetsautomation Handelsbolag,9697943547,aktivt,aktivt,,
NTAL Entreprenad & Miljö AB,5592612617,aktivt,aktivt,,
Elpropp stockholm AB,5592640105,aktivt,aktivt,,
TOM NILSSON CO.; LTD,5020673819,aktivt,aktivt,,
Hawila Holding AB,5592286750,aktivt,aktivt,,
LCC STHLM AB,5592603921,aktivt,Registrerad,,
Steninge Slott Fastighet 1 AB,5590275276,aktivt,aktivt,,
Corleone Bygg AB,5592477870,aktivt,aktivt,,
Tak 2.0 AB,5592490931,aktivt,aktivt,,
Eideal Trä AB,5592464878,aktivt,aktivt,,
Beaut-T-Tools AB,5592278989,aktivt,aktivt,,
SVEVISOLAR AB,5592665193,aktivt,aktivt,,
Nybygg i Roslagen Fastigheter AB,5591881536,aktivt,aktivt,,
HANSA CONSTRUCTIONS OÛ,5020623723,aktivt,aktivt,,
Jan Rafstedt Aktiebolag,5562154772,aktivt,aktivt,,
"UAB ""ARREGA""",5020699525,aktivt,aktivt,,
Mihais Måleritjänst AB,5592814114,aktivt,aktivt,,
Iversen Konsult AB,5592335375,aktivt,aktivt,,
JJ Sweleet AB,5592480452,aktivt,aktivt,,
LEVANS Bygg & Facility Services Sthlm AB,5592529340,aktivt,aktivt,,
Saga Måleri AB,5592538671,aktivt,aktivt,,
Ksn It Service kommanditbolag,9697937028,aktivt,aktivt,,
TRAVETER VARAHOOLDUS OÜ,5020685029,aktivt,aktivt,,
DVN fastighetsutveckling AB,5591418461,aktivt,aktivt,,
Pallo Bygg AB,5591803613,aktivt,aktivt,,
S Kerstis Konsult AB,5592415847,aktivt,aktivt,,
A Carlén Projektteknik AB,5592648397,aktivt,aktivt,,
Vallentuna Förvaltnings Aktiebolag,5560801531,aktivt,Registrerad,,
3MT VVS & BYGG AB,5592746548,aktivt,aktivt,,
Adrian Ebrahimi Projekt AB,5592362189,aktivt,aktivt,,
J.Noréns Bygg Service AB,5592546179,aktivt,aktivt,,
Libertas Group AB,5591745707,aktivt,aktivt,,
IRONMADE OY,5020661533,aktivt,aktivt,,
Rönngren & Son Entreprenad Konsulting AB,5592666688,aktivt,aktivt,,
JOCKE ERIKSSON MARK & GRUND AB,5592713266,aktivt,aktivt,,
All ink AB,5592527997,aktivt,aktivt,,
Industri VVS i Sverige AB,5592711096,aktivt,aktivt,,
Spröjs & Tilja i Lindholmen AB,5592365018,aktivt,aktivt,,
Antonio Bygg Handelsbolag,9697934264,aktivt,aktivt,,
AXION BYGGSERVICE AB,5592556681,aktivt,aktivt,,
Anders Hedberg AB,5568351356,aktivt,aktivt,,
ByggPartner08 AB,5592537061,aktivt,aktivt,,
Courtyard Bygg och Entreprenad AB,5592349681,aktivt,aktivt,,
Jerker Börjes Bygg AB,5592731573,aktivt,aktivt,,
Zell el & bygg AB,5592363401,aktivt,aktivt,,
LOUNASKAHVILA MAIVI OY,5020767413,aktivt,aktivt,,
Baurex AB,5592618515,aktivt,aktivt,,
